*******************************************************************								
* PT-EP1S30-3.6.txt
* PIN-OUT INFORMATION FOR EP1S30               								
* Ver. 3.6                                            								
*******************************************************************											
										
										
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	F780	B956	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B3	VREF2B3	IO	DQ8T4		A23	A26	C27	DQ3T4	DQ1T20
B3	VREF2B3	IO				E27	K23		
B3	VREF2B3	IO	DQ8T5		C23	B26	B28	DQ3T5	DQ1T21
B3	VREF2B3	IO	DQ8T6		E23	E26	D27	DQ3T6	DQ1T22
B3	VREF2B3	VREF2B3			E22	K20	E25		
B3	VREF2B3	IO	DQ8T7		B23	D26	E26	DQ3T7	DQ1T23
B3	VREF2B3	IO			F20	J22	H23		
B3	VREF2B3	IO					J23		
B3	VREF2B3	IO	DQ9T0		A24	B27	A29	DQ3T8	DQ1T24
B3	VREF2B3	IO					L24		
B3	VREF2B3	IO	DQ9T1		C25	C27	B29	DQ3T9	DQ1T25
B3	VREF2B3	IO			F21	H23	G24		
B3	VREF2B3	IO	DQ9T2		A25	A27	B30	DQ3T10	DQ1T26
B3	VREF2B3	IO	DQS9T		C24	B28	C28		
B3	VREF2B3	IO			G21	C30	F25		
B3	VREF2B3	IO	DQ9T3		D24	D27	C29	DQ3T11	DQ1T27
B3	VREF2B3	IO			G22	L21	J24		
B3	VREF2B3	IO	DQ9T4		B24	A28	D29	DQ3T12	DQ1T28
B3	VREF2B3	IO	DQ9T5		B25	C28	D28	DQ3T13	DQ1T29
B3	VREF2B3	IO	DQ9T6		A26	C29	C30	DQ3T14	DQ1T30
B3	VREF2B3	IO			F22	E28	F26		
B3	VREF2B3	IO	DQ9T7		B26	B29	E28	DQ3T15	DQ1T31
B3	VREF2B3	IO					K24		
		VCCIO2			B28	C31	C31		
		VCCIO2			M28	N31	C32		
		VCCIO2			P20	T23	M32		
		VCCIO2					T23		
		VCCIO1			R20	U20	AA32		
		VCCIO1			U28	W31	AK31		
		VCCIO1			AG28	AJ31	AK32		
		VCCIO1					U23		
		VCCIO8			Y15	AL29	AC17		
		VCCIO8			AH17	AL19	AM21		
		VCCIO8			AH27	Y17	AM30		
		VCCIO7			Y14	AC16	AC16
		VCCIO7			AH2	AL13	AM12
		VCCIO7			AH12	AL3	AM3
		VCCIO6			R9	AJ1	AA1
		VCCIO6			U1	W1	AK1
		VCCIO6			AG1	U12	AK2
		VCCIO6					U10
		VCCIO5			B1	T9	C1
		VCCIO5			M1	N1	C2
		VCCIO5			P9	C1	M1
		VCCIO5					T10
		VCCIO4			A2	A3	A12
		VCCIO4			A12	A13	A3
		VCCIO4			J14	J16	K16
		VCCIO3			A17	M17	A21
		VCCIO3			A27	A19	A30
		VCCIO3			J15	A29	K17
		VCCINT			M14	AA12	M12
		VCCINT			N11	AA14	M14
		VCCINT			N13	AA20	M19
		VCCINT			N15	L13	M21
		VCCINT			N17	L20	N13
		VCCINT			P12	M11	N15
		VCCINT			P14	M13	N18
		VCCINT			P16	M15	N20
		VCCINT			R13	M19	P12
		VCCINT			R15	M21	P14
		VCCINT			R17	N12	P16
		VCCINT			T12	N14	P17
		VCCINT			T14	N16	P19
		VCCINT			T16	N18	P21
		VCCINT			T18	N20	R13
		VCCINT			U11	P11	R15
		VCCINT			U13	P13	R18
		VCCINT			U15	P14	R20
		VCCINT			U17	P15	T14
		VCCINT			V12	P17	T16
		VCCINT			V16	P19	T17
		VCCINT				P21	T19
		VCCINT				R12	U14
		VCCINT				R13	U16
		VCCINT				R14	U17
		VCCINT				R18	U19
		VCCINT				R19	V13
		VCCINT				R20	V15
		VCCINT				T11	V18
		VCCINT				T13	V20
		VCCINT				T19	W14
		VCCINT				T21	W16
		VCCINT				U10	W17
		VCCINT				U14	W19
		VCCINT				U18	Y13
		VCCINT				U22	Y15
		VCCINT				V11	Y18
		VCCINT				V13	Y20
		VCCINT				V15	
		VCCINT				V17	
		VCCINT				V19	
		VCCINT				V21	
		VCCINT				W12	
		VCCINT				W14	
		VCCINT				W16	
		VCCINT				W18	
		VCCINT				W20	
		VCCINT				Y11	
		VCCINT				Y13	
		VCCINT				Y15	
		VCCINT				Y19	
		VCCINT				Y21	
		GND			A14	A1	A10
		GND			A15	A11	A2
		GND			AA16	A2	A23
		GND			AC15	A21	A31
		GND			AF26	A30	AA16
		GND			AF3	A31	AA17
		GND			AG2	AA17	AC1
		GND			AG27	AA18	AC32
		GND			AH14	AB16	AD17
		GND			AH15	AD18	AF17
		GND			B2	AK1	AL1
		GND			B27	AK2	AL2
		GND			C26	AK30	AL31
		GND			C3	AK31	AL32
		GND			G15	AL1	AM10
		GND			H16	AL11	AM2
		GND			L14	AL2	AM23
		GND			L15	AL21	AM31
		GND			M15	AL30	B1
		GND			N12	AL31	B2
		GND			N14	B1	B31
		GND			N16	B2	B32
		GND			N18	B30	H18
		GND			P1	B31	J17
		GND			P11	H17	K1
		GND			P13	H18	K32
		GND			P15	K16	M13
		GND			P17	L15	M15
		GND			P18	L17	M16
		GND			P28	M1	M17
		GND			R1	M12	M18
		GND			R11	M14	M20
		GND			R12	M16	N12
		GND			R14	M18	N14
		GND			R16	M20	N16
		GND			R18	M31	N17
		GND			R28	N11	N19
		GND			T11	N13	N21
		GND			T13	N15	P13
		GND			T15	N17	P15
		GND			T17	N19	P18
		GND			U12	N21	P20
		GND			U14	P12	R14
		GND			U16	P16	R16
		GND			U18	P18	R17
		GND			V13	P20	R19
		GND			V14	R11	T12
		GND			V15	R15	T13
		GND			V17	R17	T15
		GND				R21	T18
		GND				T10	T20
		GND				T12	T21
		GND				T14	U12
		GND				T18	U13
		GND				T20	U15
		GND				T22	U18
		GND				U11	U20
		GND				U13	U21
		GND				U15	V14
		GND				U17	V16
		GND				U19	V17
		GND				U21	V19
		GND				V12	W13
		GND				V14	W15
		GND				V16	W18
		GND				V18	W20
		GND				V20	Y14
		GND				W11	Y16
		GND				W13	Y17
		GND				W15	Y19
		GND				W17	
		GND				W19	
		GND				W21	
		GND				Y1	
		GND				Y12	
		GND				Y14	
		GND				Y16	
		GND				Y18	
		GND				Y20	
		GND				Y31	
		NC			AC25	AA22	AA11
		NC			AC26	AB10	AA13
		NC			AC3	AB11	AB10
		NC			AC4	AB15	AB12
		NC			AD25	AB18	AC11
		NC			AD26	AB19	AD10
		NC			AD3	AC14	AD11
		NC			AD4	AC15	AE10
		NC			D25	AD14	AE16
		NC			D26	H14	AE22
		NC			D3	H15	AF11
		NC			D4	J14	AF16
		NC			E25	J15	AG16
		NC			E26	K13	AG25
		NC			E3	K14	AG26
		NC			E4	K21	AG27
		NC				K22	AG28
		NC				L10	AG5
		NC				P22	AG7
		NC				V10	AG8
		NC					AH1
		NC					AH16
		NC					AH2
		NC					AH21
		NC					AH29
		NC					AH31
		NC					AH32
		NC					AH4
		NC					AH6
		NC					E12
		NC					E16
		NC					E17
		NC					E27
		NC					E29
		NC					E4
		NC					F11
		NC					F28
		NC					F5
		NC					G11
		NC					H10
		NC					H15
		NC					H16
		NC					J10
		NC					K10
		NC					L10
		NC					M11
		NC					N11
		NC					N22
		NC					P11
		NC					P22
		NC					U22
		NC					V12
		NC					V22
		NC					W11
		NC					W12
		NC					W21
		NC					W22
		NC					Y11
		NC					Y12
		NC					Y21			
		NC					Y22			

Note to Pin-List:										
1) The wire bond and flip-chip packages will have different data rates for the high speed differential I/O channels. The following table shows the data rates as supported for each package.										
										
Package	Package Type	High Speed Differential I/O Channel Performance (DIFFIO Speed)		Units						
		High 	Low							
F780	flip chip	840	N/A	Mbps						
B956	flip chip	840	N/A	Mbps						
F1020	flip chip	840	462	Mbps						
