*******************************************************************								
* PT-EP1S25-3.6.txt
* PIN-OUT INFORMATION FOR EP1S25               								
* Ver. 3.6                                            								
*******************************************************************											
											
											
Bank Number	VREF Bank	Pin Name/Function	Optional Function(s)	Configuration Function	B672	F672	F780	F1020	DQS for x16	DQS for x32	DIFFIO Speed (1)
B3	VREF2B3	IO			C6	C6	F20	G24		
B3	VREF2B3	IO			B5	B5		J23		
B3	VREF2B3	IO	DQ9T0		C3	C3	A24	A29	DQ3T8	DQ1T24
B3	VREF2B3	IO						K23		
B3	VREF2B3	IO	DQ9T1		A3	A3	C25	B29	DQ3T9	DQ1T25
B3	VREF2B3	IO					F21	F25		
B3	VREF2B3	IO	DQ9T2		D5	D5	A25	B30	DQ3T10	DQ1T26
B3	VREF2B3	IO	DQS9T		B4	B4	C24	C28		
B3	VREF2B3	IO					G21	F26		
B3	VREF2B3	IO	DQ9T3		C2	C2	D24	C29	DQ3T11	DQ1T27
B3	VREF2B3	IO					G22	L23		
B3	VREF2B3	IO	DQ9T4		B3	B3	B24	D29	DQ3T12	DQ1T28
B3	VREF2B3	IO	DQ9T5		D4	D4	B25	D28	DQ3T13	DQ1T29
B3	VREF2B3	IO	DQ9T6		C4	C4	A26	C30	DQ3T14	DQ1T30
B3	VREF2B3	IO			C5	C5	F22	K24		
B3	VREF2B3	IO	DQ9T7		D3	D3	B26	E28	DQ3T15	DQ1T31
B3	VREF2B3	IO						L24		
		VCCIO2			D1	D1	B28	C31		
		VCCIO2			L1	L1	M28	C32		
		VCCIO2			L9	L9	P20	M32		
		VCCIO2						T23		
		VCCIO1			T1	T1	R20	AA32		
		VCCIO1			AC1	AC1	U28	AK31		
		VCCIO1			T9	T9	AG28	AK32		
		VCCIO1						U23		
		VCCIO8			AF4	AF4	Y15	AC17		
		VCCIO8			AF11	AF11	AH17	AM21		
		VCCIO8			V11	V11	AH27	AM30		
		VCCIO8			V12	V12				
		VCCIO7			V15	V15	Y14	AC16
		VCCIO7			V16	V16	AH2	AM12
		VCCIO7			AF16	AF16	AH12	AM3
		VCCIO7			AF23	AF23		
		VCCIO6			T18	T18	R9	AA1
		VCCIO6			AC26	AC26	U1	AK1
		VCCIO6			T26	T26	AG1	AK2
		VCCIO6						U10
		VCCIO5			L26	L26	B1	C1
		VCCIO5			L18	L18	M1	C2
		VCCIO5			D26	D26	P9	M1
		VCCIO5						T10
		VCCIO4			A23	A23	A2	A12
		VCCIO4			A16	A16	A12	A3
		VCCIO4			J15	J15	J14	K16
		VCCIO4			J16	J16		
		VCCIO3			A4	A4	A17	A21
		VCCIO3			A11	A11	A27	A30
		VCCIO3			J11	J11	J15	K17
		VCCIO3			J12	J12		
		VCCINT			K11	K11	M14	M12
		VCCINT			M15	M15	N11	M14
		VCCINT			P17	P17	N13	M19
		VCCINT			U10	U10	N15	M21
		VCCINT			K13	K13	N17	N13
		VCCINT			M17	M17	P12	N15
		VCCINT			R10	R10	P14	N18
		VCCINT			U12	U12	P16	N20
		VCCINT			K15	K15	R13	P12
		VCCINT			N10	N10	R15	P14
		VCCINT			R12	R12	R17	P16
		VCCINT			U14	U14	T12	P17
		VCCINT			K17	K17	T14	P19
		VCCINT			N12	N12	T16	P21
		VCCINT			R14	R14	T18	R13
		VCCINT			U16	U16	U11	R15
		VCCINT			L10	L10	U13	R18
		VCCINT			N14	N14	U15	R20
		VCCINT			R16	R16	U17	T14
		VCCINT			L12	L12	V12	T16
		VCCINT			N16	N16	V16	T17
		VCCINT			T11	T11		T19
		VCCINT			L14	L14		U14
		VCCINT			P11	P11		U16
		VCCINT			T13	T13		U17
		VCCINT			L16	L16		U19
		VCCINT			P13	P13		V13
		VCCINT			T15	T15		V15
		VCCINT			M11	M11		V18
		VCCINT			P15	P15		V20
		VCCINT			T17	T17		W14
		VCCINT			M13	M13		W16
		VCCINT						W17
		VCCINT						W19
		VCCINT						Y13
		VCCINT						Y15
		VCCINT						Y18
		VCCINT						Y20
		GND			A13	A13	C3	AA16
		GND			B1	B1	C26	AA17
		GND			J17	J17	L14	AC1
		GND			L17	L17	L15	AC32
		GND			N17	N17	M15	AL1
		GND			P26	P26	N12	AL2
		GND			U11	U11	N14	AL31
		GND			V18	V18	N16	AL32
		GND			A14	A14	N18	AM10
		GND			B2	B2	P1	AM2
		GND			K10	K10	P11	AM23
		GND			M10	M10	P13	AM31
		GND			N18	N18	P15	B1
		GND			R11	R11	P17	B2
		GND			U13	U13	P18	B31
		GND			A2	A2	P28	B32
		GND			AF25	AF25	R1	K1
		GND			J14	J14	R11	K32
		GND			L15	L15	R12	M13
		GND			N15	N15	R14	M15
		GND			P18	P18	R16	M16
		GND			T16	T16	R18	M17
		GND			V17	V17	AA16	AD17
		GND			A25	A25	AC15	AF17
		GND			B26	B26	G15	J17
		GND			K12	K12	H16	H18
		GND			M12	M12	R28	M18
		GND			N26	N26	T11	M20
		GND			R13	R13	T13	N12
		GND			U15	U15	T15	N14
		GND			AE1	AE1	T17	N16
		GND			G8	G8	U12	N17
		GND			K14	K14	U14	N19
		GND			M14	M14	U16	N21
		GND			P1	P1	U18	P13
		GND			R15	R15	V13	P15
		GND			U17	U17	V14	P18
		GND			AE26	AE26	V15	P20
		GND			H9	H9	V17	R14
		GND			K16	K16	AF3	R16
		GND			M16	M16	AF26	R17
		GND			P9	P9	AG2	R19
		GND			R17	R17	AG27	T12
		GND			V9	V9	AH14	T13
		GND			AF2	AF2	AH15	T15
		GND			H17	H17		T18
		GND			K18	K18		T20
		GND			N1	N1		T21
		GND			P10	P10		U12
		GND			T10	T10		U13
		GND			V10	V10		U15
		GND			AF13	AF13		U18
		GND			J9	J9		U20
		GND			L11	L11		U21
		GND			N9	N9		V14
		GND			P12	P12		V16
		GND			T12	T12		V17
		GND			V13	V13		V19
		GND			AF14	AF14		W13
		GND			J10	J10		W15
		GND			L13	L13		W18
		GND			N11	N11		W20
		GND			P14	P14		Y14
		GND			T14	T14		Y16
		GND			V14	V14		Y17
		GND			J13	J13		Y19
		GND			N13	N13		
		GND			P16	P16		
		GND			C13	C13		
		GND			AC13	AC13		
		GND					A14	A10
		GND					A15	A2
		GND					B2	A23
		GND					B27	A31
		NC					P19	AA11
		NC					E5	AB23
		NC					E26	AE16
		NC					E25	AG25
		NC					D26	AH16
		NC					D25	AJ3
		NC					AC26	D32
		NC					AC25	E30
		NC					AD26	F30
		NC					AD25	K10
		NC					AC3	N22
		NC					AD3	W11
		NC					AC4	AB5
		NC					AD4	AC11
		NC					E3	AG5
		NC					E4	AH1
		NC					D3	AH31
		NC					D4	D1
		NC						E4
		NC						F4
		NC						G25
		NC						L28
		NC						R21
		NC						Y11
		NC						AA22
		NC						AB29
		NC						AF11
		NC						AG27
		NC						AH29
		NC						AJ31
		NC						E2
		NC						E32
		NC						G8
		NC						L5
		NC						P22
		NC						W21
		NC						AB10
		NC						AD11
		NC						AG8
		NC						AH3
		NC						AJ1
		NC						D3
		NC						E16
		NC						F6
		NC						H10
		NC						M11
		NC						U22
		NC						Y21
		NC						AA13
		NC						AB28
		NC						AE22
		NC						AG26
		NC						AH21
		NC						AJ30
		NC						E1
		NC						E31
		NC						G7
		NC						L4
		NC						P11
		NC						W12
		NC						AB9
		NC						AD10
		NC						AG7
		NC						AH2
		NC						AH32
		NC						D2
		NC						E12
		NC						F5
		NC						G26
		NC						L29
		NC						T11
		NC						Y12
		NC						AB4
		NC						AC10
		NC						AF16
		NC						AG28
		NC						AH30
		NC						AJ32
		NC						E3
		NC						F3
		NC						G11
		NC						L10
		NC						R11
		NC						W22
		NC						AB12
		NC						AE10
		NC						AG16
		NC						AH4
		NC						AJ2
		NC						D30
		NC						E17
		NC						F11
		NC						H15
		NC						M22
		NC						V12
		NC						Y22
		NC						AH6
		NC						D31
		NC						E27
		NC						F28
		NC						H16
		NC						M23
		NC						V22
		NC						E29
		NC						F29
		NC						J10
		NC						N11










Note to Pin-List:											
1) The wire bond and flip-chip packages will have different data rates for the high speed differential I/O channels. The following table shows the data rates as supported for each package.											
											
Package	Package Type	High Speed Differential I/O Channel Performance (DIFFIO Speed)		Units							
		High 	Low								
B672	wire bond	462	N/A	Mbps							
F672	wire bond	462	N/A	Mbps							
F780	flip chip	840	N/A	Mbps						
F1020	flip chip	840	N/A	Mbps						
