"Pin Information for the Arria® GX EP1AGX50C/D Device Version 1.4"												
												
												
Bank Number	VREF Group	Pin Name/Function	Optional Function(s)	Configuration Function	EP1AGX50DF1152	EP1AGX50DF780	EP1AGX50CF484	x8/x9 Mode		x16/x18 Mode		x36 Mode
		GND			U17	U14						
		GND			U19	U16						
		GND			U21	U18						
		GND			V14	N19						
		GND			V16	P10						
		GND			V18	P19						
		GND			V20	R19						
		GND			W13							
		GND			W15							
		GND			W17							
		GND			W19							
		GND			W21							
		GND			Y14							
		GND			Y16							
		GND			Y18							
		GND			Y20							
		GND			Y22							
		GND			AB13							
		GND			AB14							
		GND			AB15							
		GND			P13							
		GND			P22							
		GND			R12							
		GND			V22							
		GND			Y13							
		VCCPD2			R24	P20	L14					
		VCCPD2			R25							
		VCCPD1			W24	T20	P14					
		VCCPD1			W25							
		VCCPD8			AD19	Y16	R13					
		VCCPD8			AD20							
		VCCPD7			AD16	Y12	R8					
		VCCPD7			AD17							
		VCCPD4			L16	J13	J8					
		VCCPD4			L17							
		VCCPD3			L19	J17	J13					
		VCCPD3			L20							
		NC			AB16	AE23						
		NC			AB17	AB20						
		NC			AB22	AA19						
		NC			AC17	Y15						
		NC			AJ29	AB18						
		NC			AJ30	AA17						
		NC			AK31	AB16						
		NC			AK32	AA11						
		NC			AK34	K14						
		NC			AL32	G17						
		NC			AL33	J18						
		NC			AL34	K19						
		NC			D32	L19						
		NC			D33	J20						
		NC			E31							
		NC			E32							
		NC			F30							
		NC			G30							
		NC			G31							
		NC			H29							
		NC			K22							
		NC			M13							
		NC			N19							
		NC			N22							
		NC			W7							
		NC			W8							
		NC			W12							
		NC			AK29							
		NC			AD23							
		NC			AD22							
		NC			AE22							
		NC			AG23							
		NC			AC19							
		NC			AH22							
		NC			AG13							
		NC			AE13							
		NC			AF10							
		NC			H13							
		NC			M14							
		NC			J14							
		NC			G18							
		NC			G19							
		NC			M20							
		NC			M22							
		NC			L22							
		NC			L23							
		NC			M24							
												
												
Note:												
1. The DQS/DQ mode shown in this column applies to the largest device package in the pin list.												
    Smaller packages may not have the pins to support some of the DQS groups.												
    To determine the supported DQS/DQ groups, check the pin availability for the target device package. 											
     For example, for the EP1AGX50CF484 package, there are only two x8 groups, but no x9 group. 												
