Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	GT Support	SF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36								
3F	13	VREFB3FN0	IO			LVDS3F_18n	Yes		L13	DQ85	DQ42	DQSn21/CQn21	DQ10								
3F	12	VREFB3FN0	IO			LVDS3F_18p	Yes		M12	DQ85	DQ42	DQS21/CQ21	DQ10								
3F	11	VREFB3FN0	IO			LVDS3F_19n	No		G13	DQ86	DQ43	DQ21	DQ10								
3F	10	VREFB3FN0	IO			LVDS3F_19p	No		F13	DQ86	DQ43	DQ21	DQ10								
3F	9	VREFB3FN0	IO			LVDS3F_20n	Yes		G12	DQSn86	DQ43	DQ21	DQ10								
3F	8	VREFB3FN0	IO			LVDS3F_20p	Yes		G11	DQS86	DQ43	DQ21	DQ10								
3F	7	VREFB3FN0	IO			LVDS3F_21n	No		E10	DQ86	DQ43	DQ21	DQ10								
3F	6	VREFB3FN0	IO			LVDS3F_21p	No		E11	DQ86	DQ43	DQ21	DQ10								
3F	5	VREFB3FN0	IO			LVDS3F_22n	Yes		F10	DQSn87	DQSn43/CQn43	DQ21	DQ10								
3F	4	VREFB3FN0	IO			LVDS3F_22p	Yes		G10	DQS87	DQS43/CQ43	DQ21	DQ10								
3F	3	VREFB3FN0	IO			LVDS3F_23n	No		F12	DQ87	DQ43	DQ21	DQ10								
3F	2	VREFB3FN0	IO			LVDS3F_23p	No		E12	DQ87	DQ43	DQ21	DQ10								
3F	1	VREFB3FN0	IO			LVDS3F_24n	Yes		H10	DQ87	DQ43	DQ21	DQ10								
3F	0	VREFB3FN0	IO			LVDS3F_24p	Yes		H11	DQ87	DQ43	DQ21	DQ10								
3E	47	VREFB3EN0	IO			LVDS3E_1n	No		R11	DQ88	DQ44	DQ22	DQ11								
3E	46	VREFB3EN0	IO			LVDS3E_1p	No		R12	DQ88	DQ44	DQ22	DQ11								
3E	45	VREFB3EN0	IO			LVDS3E_2n	Yes		M10	DQSn88	DQ44	DQ22	DQ11								
3E	44	VREFB3EN0	IO			LVDS3E_2p	Yes		N10	DQS88	DQ44	DQ22	DQ11								
3E	43	VREFB3EN0	IO			LVDS3E_3n	No		M11	DQ88	DQ44	DQ22	DQ11								
3E	42	VREFB3EN0	IO			LVDS3E_3p	No		L12	DQ88	DQ44	DQ22	DQ11								
3E	41	VREFB3EN0	IO			LVDS3E_4n	Yes		P12	DQSn89	DQSn44/CQn44	DQ22	DQ11								
3E	40	VREFB3EN0	IO			LVDS3E_4p	Yes		P13	DQS89	DQS44/CQ44	DQ22	DQ11								
3E	39	VREFB3EN0	IO			LVDS3E_5n	No		N14	DQ89	DQ44	DQ22	DQ11								
3E	38	VREFB3EN0	IO			LVDS3E_5p	No		N13	DQ89	DQ44	DQ22	DQ11								
3E	37	VREFB3EN0	IO			LVDS3E_6n	Yes		P11	DQ89	DQ44	DQSn22/CQn22	DQ11								
3E	36	VREFB3EN0	IO			LVDS3E_6p	Yes		N11	DQ89	DQ44	DQS22/CQ22	DQ11								
3E	35	VREFB3EN0	IO			LVDS3E_7n	No		P16	DQ90	DQ45	DQ22	DQ11								
3E	34	VREFB3EN0	IO			LVDS3E_7p	No		P17	DQ90	DQ45	DQ22	DQ11								
3E	33	VREFB3EN0	IO			LVDS3E_8n	Yes		N15	DQSn90	DQ45	DQ22	DQ11								
3E	32	VREFB3EN0	IO			LVDS3E_8p	Yes		N16	DQS90	DQ45	DQ22	DQ11								
3E	31	VREFB3EN0	IO			LVDS3E_9n	No		R15	DQ90	DQ45	DQ22	DQ11								
3E	30	VREFB3EN0	IO			LVDS3E_9p	No		T14	DQ90	DQ45	DQ22	DQ11								
3E	29	VREFB3EN0	IO	PLL_3E_CLKOUT1n		LVDS3E_10n	Yes		T13	DQSn91	DQSn45/CQn45	DQ22	DQ11								
3E	28	VREFB3EN0	IO	"PLL_3E_CLKOUT1p,PLL_3E_CLKOUT1,PLL_3E_FB1"		LVDS3E_10p	Yes		U13	DQS91	DQS45/CQ45	DQ22	DQ11								
3E	27	VREFB3EN0	IO			LVDS3E_11n	No		W14	DQ91	DQ45	DQ22	DQ11								
3E	26	VREFB3EN0	IO	RZQ_3E		LVDS3E_11p	No		V14	DQ91	DQ45	DQ22	DQ11								
3E	25	VREFB3EN0	IO	CLK_3E_1n		LVDS3E_12n	Yes		P14	DQ91	DQ45	DQ22	DQ11								
3E	24	VREFB3EN0	IO	CLK_3E_1p		LVDS3E_12p	Yes		R14	DQ91	DQ45	DQ22	DQ11								
3E	23	VREFB3EN0	IO	CLK_3E_0n		LVDS3E_13n	No		AC11	DQ92	DQ46	DQ23	DQ11								
3E	22	VREFB3EN0	IO	CLK_3E_0p		LVDS3E_13p	No		AB11	DQ92	DQ46	DQ23	DQ11								
3E	21	VREFB3EN0	IO			LVDS3E_14n	Yes		AD13	DQSn92	DQ46	DQ23	DQSn11/CQn11								
3E	20	VREFB3EN0	IO			LVDS3E_14p	Yes		AD14	DQS92	DQ46	DQ23	DQS11/CQ11								
3E	19	VREFB3EN0	IO	PLL_3E_CLKOUT0n		LVDS3E_15n	No		Y12	DQ92	DQ46	DQ23	DQ11								
3E	18	VREFB3EN0	IO	"PLL_3E_CLKOUT0p,PLL_3E_CLKOUT0,PLL_3E_FB0"		LVDS3E_15p	No		AA13	DQ92	DQ46	DQ23	DQ11								
3E	17	VREFB3EN0	IO			LVDS3E_16n	Yes		AB12	DQSn93	DQSn46/CQn46	DQ23	DQ11								
3E	16	VREFB3EN0	IO			LVDS3E_16p	Yes		AC13	DQS93	DQS46/CQ46	DQ23	DQ11								
3E	15	VREFB3EN0	IO			LVDS3E_17n	No		Y11	DQ93	DQ46	DQ23	DQ11								
3E	14	VREFB3EN0	IO			LVDS3E_17p	No		Y10	DQ93	DQ46	DQ23	DQ11								
3E	13	VREFB3EN0	IO			LVDS3E_18n	Yes		AA14	DQ93	DQ46	DQSn23/CQn23	DQ11								
3E	12	VREFB3EN0	IO			LVDS3E_18p	Yes		AB13	DQ93	DQ46	DQS23/CQ23	DQ11								
3E	11	VREFB3EN0	IO			LVDS3E_19n	No		W13	DQ94	DQ47	DQ23	DQ11								
3E	10	VREFB3EN0	IO			LVDS3E_19p	No		V13	DQ94	DQ47	DQ23	DQ11								
3E	9	VREFB3EN0	IO			LVDS3E_20n	Yes		T10	DQSn94	DQ47	DQ23	DQ11								
3E	8	VREFB3EN0	IO			LVDS3E_20p	Yes		U11	DQS94	DQ47	DQ23	DQ11								
3E	7	VREFB3EN0	IO			LVDS3E_21n	No		T12	DQ94	DQ47	DQ23	DQ11								
3E	6	VREFB3EN0	IO			LVDS3E_21p	No		U12	DQ94	DQ47	DQ23	DQ11								
3E	5	VREFB3EN0	IO			LVDS3E_22n	Yes		W10	DQSn95	DQSn47/CQn47	DQ23	DQ11								
3E	4	VREFB3EN0	IO			LVDS3E_22p	Yes		V11	DQS95	DQS47/CQ47	DQ23	DQ11								
3E	3	VREFB3EN0	IO			LVDS3E_23n	No		Y15	DQ95	DQ47	DQ23	DQ11								
3E	2	VREFB3EN0	IO			LVDS3E_23p	No		Y14	DQ95	DQ47	DQ23	DQ11								
3E	1	VREFB3EN0	IO			LVDS3E_24n	Yes		W11	DQ95	DQ47	DQ23	DQ11								
3E	0	VREFB3EN0	IO			LVDS3E_24p	Yes		W12	DQ95	DQ47	DQ23	DQ11								
3D	47	VREFB3DN0	IO			LVDS3D_1n	No		AK12	DQ96	DQ48	DQ24	DQ12								
3D	46	VREFB3DN0	IO			LVDS3D_1p	No		AJ11	DQ96	DQ48	DQ24	DQ12								
3D	45	VREFB3DN0	IO			LVDS3D_2n	Yes		AL13	DQSn96	DQ48	DQ24	DQ12								
3D	44	VREFB3DN0	IO			LVDS3D_2p	Yes		AL12	DQS96	DQ48	DQ24	DQ12								
3D	43	VREFB3DN0	IO			LVDS3D_3n	No		AJ14	DQ96	DQ48	DQ24	DQ12								
3D	42	VREFB3DN0	IO			LVDS3D_3p	No		AK14	DQ96	DQ48	DQ24	DQ12								
3D	41	VREFB3DN0	IO			LVDS3D_4n	Yes		AH14	DQSn97	DQSn48/CQn48	DQ24	DQ12								
3D	40	VREFB3DN0	IO			LVDS3D_4p	Yes		AH13	DQS97	DQS48/CQ48	DQ24	DQ12								
3D	39	VREFB3DN0	IO			LVDS3D_5n	No		AH11	DQ97	DQ48	DQ24	DQ12								
3D	38	VREFB3DN0	IO			LVDS3D_5p	No		AH10	DQ97	DQ48	DQ24	DQ12								
3D	37	VREFB3DN0	IO			LVDS3D_6n	Yes		AJ13	DQ97	DQ48	DQSn24/CQn24	DQ12								
3D	36	VREFB3DN0	IO			LVDS3D_6p	Yes		AJ12	DQ97	DQ48	DQS24/CQ24	DQ12								
3D	35	VREFB3DN0	IO			LVDS3D_7n	No		AE12	DQ98	DQ49	DQ24	DQ12								
3D	34	VREFB3DN0	IO			LVDS3D_7p	No		AF12	DQ98	DQ49	DQ24	DQ12								
3D	33	VREFB3DN0	IO			LVDS3D_8n	Yes		AG11	DQSn98	DQ49	DQ24	DQ12								
3D	32	VREFB3DN0	IO			LVDS3D_8p	Yes		AG12	DQS98	DQ49	DQ24	DQ12								
3D	31	VREFB3DN0	IO			LVDS3D_9n	No		AF15	DQ98	DQ49	DQ24	DQ12								
3D	30	VREFB3DN0	IO			LVDS3D_9p	No		AF14	DQ98	DQ49	DQ24	DQ12								
3D	29	VREFB3DN0	IO	PLL_3D_CLKOUT1n		LVDS3D_10n	Yes		AD12	DQSn99	DQSn49/CQn49	DQ24	DQ12								
3D	28	VREFB3DN0	IO	"PLL_3D_CLKOUT1p,PLL_3D_CLKOUT1,PLL_3D_FB1"		LVDS3D_10p	Yes		AE11	DQS99	DQS49/CQ49	DQ24	DQ12								
3D	27	VREFB3DN0	IO			LVDS3D_11n	No		AE15	DQ99	DQ49	DQ24	DQ12								
3D	26	VREFB3DN0	IO	RZQ_3D		LVDS3D_11p	No		AE14	DQ99	DQ49	DQ24	DQ12								
3D	25	VREFB3DN0	IO	CLK_3D_1n		LVDS3D_12n	Yes		AG13	DQ99	DQ49	DQ24	DQ12								
3D	24	VREFB3DN0	IO	CLK_3D_1p		LVDS3D_12p	Yes		AF13	DQ99	DQ49	DQ24	DQ12								
3D	23	VREFB3DN0	IO	CLK_3D_0n		LVDS3D_13n	No		AL18	DQ100	DQ50	DQ25	DQ12								
3D	22	VREFB3DN0	IO	CLK_3D_0p		LVDS3D_13p	No		AM18	DQ100	DQ50	DQ25	DQ12								
3D	21	VREFB3DN0	IO			LVDS3D_14n	Yes		AK15	DQSn100	DQ50	DQ25	DQSn12/CQn12								
3D	20	VREFB3DN0	IO			LVDS3D_14p	Yes		AL15	DQS100	DQ50	DQ25	DQS12/CQ12								
3D	19	VREFB3DN0	IO	PLL_3D_CLKOUT0n		LVDS3D_15n	No		AN16	DQ100	DQ50	DQ25	DQ12								
3D	18	VREFB3DN0	IO	"PLL_3D_CLKOUT0p,PLL_3D_CLKOUT0,PLL_3D_FB0"		LVDS3D_15p	No		AM16	DQ100	DQ50	DQ25	DQ12								
3D	17	VREFB3DN0	IO			LVDS3D_16n	Yes		AL14	DQSn101	DQSn50/CQn50	DQ25	DQ12								
3D	16	VREFB3DN0	IO			LVDS3D_16p	Yes		AM15	DQS101	DQS50/CQ50	DQ25	DQ12								
3D	15	VREFB3DN0	IO			LVDS3D_17n	No		AL20	DQ101	DQ50	DQ25	DQ12								
3D	14	VREFB3DN0	IO			LVDS3D_17p	No		AL19	DQ101	DQ50	DQ25	DQ12								
3D	13	VREFB3DN0	IO			LVDS3D_18n	Yes		AL17	DQ101	DQ50	DQSn25/CQn25	DQ12								
3D	12	VREFB3DN0	IO			LVDS3D_18p	Yes		AM17	DQ101	DQ50	DQS25/CQ25	DQ12								
3D	11	VREFB3DN0	IO			LVDS3D_19n	No		AN10	DQ102	DQ51	DQ25	DQ12								
3D	10	VREFB3DN0	IO			LVDS3D_19p	No		AN11	DQ102	DQ51	DQ25	DQ12								
3D	9	VREFB3DN0	IO			LVDS3D_20n	Yes		AK11	DQSn102	DQ51	DQ25	DQ12								
3D	8	VREFB3DN0	IO			LVDS3D_20p	Yes		AL10	DQS102	DQ51	DQ25	DQ12								
3D	7	VREFB3DN0	IO			LVDS3D_21n	No		AM13	DQ102	DQ51	DQ25	DQ12								
3D	6	VREFB3DN0	IO			LVDS3D_21p	No		AN13	DQ102	DQ51	DQ25	DQ12								
3D	5	VREFB3DN0	IO			LVDS3D_22n	Yes		AN14	DQSn103	DQSn51/CQn51	DQ25	DQ12								
3D	4	VREFB3DN0	IO			LVDS3D_22p	Yes		AN15	DQS103	DQS51/CQ51	DQ25	DQ12								
3D	3	VREFB3DN0	IO			LVDS3D_23n	No		AR10	DQ103	DQ51	DQ25	DQ12								
3D	2	VREFB3DN0	IO			LVDS3D_23p	No		AP11	DQ103	DQ51	DQ25	DQ12								
3D	1	VREFB3DN0	IO			LVDS3D_24n	Yes		AM11	DQ103	DQ51	DQ25	DQ12								
3D	0	VREFB3DN0	IO			LVDS3D_24p	Yes		AM12	DQ103	DQ51	DQ25	DQ12								
3C	47	VREFB3CN0	IO			LVDS3C_1n	No		AV10	DQ104	DQ52	DQ26	DQ13								
3C	46	VREFB3CN0	IO			LVDS3C_1p	No		AU10	DQ104	DQ52	DQ26	DQ13								
3C	45	VREFB3CN0	IO			LVDS3C_2n	Yes		AU12	DQSn104	DQ52	DQ26	DQ13								
3C	44	VREFB3CN0	IO			LVDS3C_2p	Yes		AU11	DQS104	DQ52	DQ26	DQ13								
3C	43	VREFB3CN0	IO			LVDS3C_3n	No		AV13	DQ104	DQ52	DQ26	DQ13								
3C	42	VREFB3CN0	IO			LVDS3C_3p	No		AW13	DQ104	DQ52	DQ26	DQ13								
3C	41	VREFB3CN0	IO			LVDS3C_4n	Yes		AY12	DQSn105	DQSn52/CQn52	DQ26	DQ13								
3C	40	VREFB3CN0	IO			LVDS3C_4p	Yes		AW12	DQS105	DQS52/CQ52	DQ26	DQ13								
3C	39	VREFB3CN0	IO			LVDS3C_5n	No		AW11	DQ105	DQ52	DQ26	DQ13								
3C	38	VREFB3CN0	IO			LVDS3C_5p	No		AV11	DQ105	DQ52	DQ26	DQ13								
3C	37	VREFB3CN0	IO			LVDS3C_6n	Yes		AY11	DQ105	DQ52	DQSn26/CQn26	DQ13								
3C	36	VREFB3CN0	IO			LVDS3C_6p	Yes		AY10	DQ105	DQ52	DQS26/CQ26	DQ13								
3C	35	VREFB3CN0	IO			LVDS3C_7n	No		AT9	DQ106	DQ53	DQ26	DQ13								
3C	34	VREFB3CN0	IO			LVDS3C_7p	No		AR9	DQ106	DQ53	DQ26	DQ13								
3C	33	VREFB3CN0	IO			LVDS3C_8n	Yes		AU13	DQSn106	DQ53	DQ26	DQ13								
3C	32	VREFB3CN0	IO			LVDS3C_8p	Yes		AT13	DQS106	DQ53	DQ26	DQ13								
3C	31	VREFB3CN0	IO			LVDS3C_9n	No		AT8	DQ106	DQ53	DQ26	DQ13								
3C	30	VREFB3CN0	IO			LVDS3C_9p	No		AU8	DQ106	DQ53	DQ26	DQ13								
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n		LVDS3C_10n	Yes		AR12	DQSn107	DQSn53/CQn53	DQ26	DQ13								
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"		LVDS3C_10p	Yes		AP12	DQS107	DQS53/CQ53	DQ26	DQ13								
3C	27	VREFB3CN0	IO			LVDS3C_11n	No		AP13	DQ107	DQ53	DQ26	DQ13								
3C	26	VREFB3CN0	IO	RZQ_3C		LVDS3C_11p	No		AP14	DQ107	DQ53	DQ26	DQ13								
3C	25	VREFB3CN0	IO	CLK_3C_1n		LVDS3C_12n	Yes		AR11	DQ107	DQ53	DQ26	DQ13								
3C	24	VREFB3CN0	IO	CLK_3C_1p		LVDS3C_12p	Yes		AT10	DQ107	DQ53	DQ26	DQ13								
3C	23	VREFB3CN0	IO	CLK_3C_0n		LVDS3C_13n	No		BA13	DQ108	DQ54	DQ27	DQ13								
3C	22	VREFB3CN0	IO	CLK_3C_0p		LVDS3C_13p	No		BA12	DQ108	DQ54	DQ27	DQ13								
3C	21	VREFB3CN0	IO			LVDS3C_14n	Yes		BD12	DQSn108	DQ54	DQ27	DQSn13/CQn13								
3C	20	VREFB3CN0	IO			LVDS3C_14p	Yes		BD13	DQS108	DQ54	DQ27	DQS13/CQ13								
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n		LVDS3C_15n	No		BA10	DQ108	DQ54	DQ27	DQ13								
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"		LVDS3C_15p	No		BB10	DQ108	DQ54	DQ27	DQ13								
3C	17	VREFB3CN0	IO			LVDS3C_16n	Yes		BB11	DQSn109	DQSn54/CQn54	DQ27	DQ13								
3C	16	VREFB3CN0	IO			LVDS3C_16p	Yes		BB12	DQS109	DQS54/CQ54	DQ27	DQ13								
3C	15	VREFB3CN0	IO			LVDS3C_17n	No		BD14	DQ109	DQ54	DQ27	DQ13								
3C	14	VREFB3CN0	IO			LVDS3C_17p	No		BC14	DQ109	DQ54	DQ27	DQ13								
3C	13	VREFB3CN0	IO			LVDS3C_18n	Yes		BB13	DQ109	DQ54	DQSn27/CQn27	DQ13								
3C	12	VREFB3CN0	IO			LVDS3C_18p	Yes		BC13	DQ109	DQ54	DQS27/CQ27	DQ13								
3C	11	VREFB3CN0	IO			LVDS3C_19n	No		BB16	DQ110	DQ55	DQ27	DQ13								
3C	10	VREFB3CN0	IO			LVDS3C_19p	No		BC16	DQ110	DQ55	DQ27	DQ13								
3C	9	VREFB3CN0	IO			LVDS3C_20n	Yes		BD16	DQSn110	DQ55	DQ27	DQ13								
3C	8	VREFB3CN0	IO			LVDS3C_20p	Yes		BD17	DQS110	DQ55	DQ27	DQ13								
3C	7	VREFB3CN0	IO			LVDS3C_21n	No		BA14	DQ110	DQ55	DQ27	DQ13								
3C	6	VREFB3CN0	IO			LVDS3C_21p	No		BA15	DQ110	DQ55	DQ27	DQ13								
3C	5	VREFB3CN0	IO			LVDS3C_22n	Yes		BC15	DQSn111	DQSn55/CQn55	DQ27	DQ13								
3C	4	VREFB3CN0	IO			LVDS3C_22p	Yes		BB15	DQS111	DQS55/CQ55	DQ27	DQ13								
3C	3	VREFB3CN0	IO			LVDS3C_23n	No		BD18	DQ111	DQ55	DQ27	DQ13								
3C	2	VREFB3CN0	IO			LVDS3C_23p	No		BC18	DQ111	DQ55	DQ27	DQ13								
3C	1	VREFB3CN0	IO			LVDS3C_24n	Yes		BB18	DQ111	DQ55	DQ27	DQ13								
3C	0	VREFB3CN0	IO			LVDS3C_24p	Yes		BB17	DQ111	DQ55	DQ27	DQ13								
3B	47	VREFB3BN0	IO			LVDS3B_1n	No		AP16	DQ112	DQ56	DQ28	DQ14								
3B	46	VREFB3BN0	IO			LVDS3B_1p	No		AR16	DQ112	DQ56	DQ28	DQ14								
3B	45	VREFB3BN0	IO			LVDS3B_2n	Yes		AT18	DQSn112	DQ56	DQ28	DQ14								
3B	44	VREFB3BN0	IO			LVDS3B_2p	Yes		AU18	DQS112	DQ56	DQ28	DQ14								
3B	43	VREFB3BN0	IO			LVDS3B_3n	No		AU17	DQ112	DQ56	DQ28	DQ14								
3B	42	VREFB3BN0	IO			LVDS3B_3p	No		AT17	DQ112	DQ56	DQ28	DQ14								
3B	41	VREFB3BN0	IO			LVDS3B_4n	Yes		AP17	DQSn113	DQSn56/CQn56	DQ28	DQ14								
3B	40	VREFB3BN0	IO			LVDS3B_4p	Yes		AR17	DQS113	DQS56/CQ56	DQ28	DQ14								
3B	39	VREFB3BN0	IO			LVDS3B_5n	No		AR14	DQ113	DQ56	DQ28	DQ14								
3B	38	VREFB3BN0	IO			LVDS3B_5p	No		AT14	DQ113	DQ56	DQ28	DQ14								
3B	37	VREFB3BN0	IO			LVDS3B_6n	Yes		AT15	DQ113	DQ56	DQSn28/CQn28	DQ14								
3B	36	VREFB3BN0	IO			LVDS3B_6p	Yes		AR15	DQ113	DQ56	DQS28/CQ28	DQ14								
3B	35	VREFB3BN0	IO			LVDS3B_7n	No		AW17	DQ114	DQ57	DQ28	DQ14								
3B	34	VREFB3BN0	IO			LVDS3B_7p	No		AY17	DQ114	DQ57	DQ28	DQ14								
3B	33	VREFB3BN0	IO			LVDS3B_8n	Yes		AW14	DQSn114	DQ57	DQ28	DQ14								
3B	32	VREFB3BN0	IO			LVDS3B_8p	Yes		AV14	DQS114	DQ57	DQ28	DQ14								
3B	31	VREFB3BN0	IO			LVDS3B_9n	No		AW16	DQ114	DQ57	DQ28	DQ14								
3B	30	VREFB3BN0	IO			LVDS3B_9p	No		AY16	DQ114	DQ57	DQ28	DQ14								
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n		LVDS3B_10n	Yes		AU16	DQSn115	DQSn57/CQn57	DQ28	DQ14								
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"		LVDS3B_10p	Yes		AV16	DQS115	DQS57/CQ57	DQ28	DQ14								
3B	27	VREFB3BN0	IO			LVDS3B_11n	No		AY14	DQ115	DQ57	DQ28	DQ14								
3B	26	VREFB3BN0	IO	RZQ_3B		LVDS3B_11p	No		AY15	DQ115	DQ57	DQ28	DQ14								
3B	25	VREFB3BN0	IO	CLK_3B_1n		LVDS3B_12n	Yes		AU15	DQ115	DQ57	DQ28	DQ14								
3B	24	VREFB3BN0	IO	CLK_3B_1p		LVDS3B_12p	Yes		AV15	DQ115	DQ57	DQ28	DQ14								
3B	23	VREFB3BN0	IO	CLK_3B_0n		LVDS3B_13n	No		AY19	DQ116	DQ58	DQ29	DQ14								
3B	22	VREFB3BN0	IO	CLK_3B_0p		LVDS3B_13p	No		AY20	DQ116	DQ58	DQ29	DQ14								
3B	21	VREFB3BN0	IO			LVDS3B_14n	Yes		AV18	DQSn116	DQ58	DQ29	DQSn14/CQn14								
3B	20	VREFB3BN0	IO			LVDS3B_14p	Yes		AW18	DQS116	DQ58	DQ29	DQS14/CQ14								
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n		LVDS3B_15n	No		AY21	DQ116	DQ58	DQ29	DQ14								
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"		LVDS3B_15p	No		AW21	DQ116	DQ58	DQ29	DQ14								
3B	17	VREFB3BN0	IO			LVDS3B_16n	Yes		AV21	DQSn117	DQSn58/CQn58	DQ29	DQ14								
3B	16	VREFB3BN0	IO			LVDS3B_16p	Yes		AU21	DQS117	DQS58/CQ58	DQ29	DQ14								
3B	15	VREFB3BN0	IO			LVDS3B_17n	No		AW19	DQ117	DQ58	DQ29	DQ14								
3B	14	VREFB3BN0	IO			LVDS3B_17p	No		AV19	DQ117	DQ58	DQ29	DQ14								
3B	13	VREFB3BN0	IO			LVDS3B_18n	Yes		AU20	DQ117	DQ58	DQSn29/CQn29	DQ14								
3B	12	VREFB3BN0	IO			LVDS3B_18p	Yes		AV20	DQ117	DQ58	DQS29/CQ29	DQ14								
3B	11	VREFB3BN0	IO			LVDS3B_19n	No		AT20	DQ118	DQ59	DQ29	DQ14								
3B	10	VREFB3BN0	IO			LVDS3B_19p	No		AT19	DQ118	DQ59	DQ29	DQ14								
3B	9	VREFB3BN0	IO			LVDS3B_20n	Yes		AR21	DQSn118	DQ59	DQ29	DQ14								
3B	8	VREFB3BN0	IO			LVDS3B_20p	Yes		AP21	DQS118	DQ59	DQ29	DQ14								
3B	7	VREFB3BN0	IO			LVDS3B_21n	No		AN19	DQ118	DQ59	DQ29	DQ14								
3B	6	VREFB3BN0	IO			LVDS3B_21p	No		AP18	DQ118	DQ59	DQ29	DQ14								
3B	5	VREFB3BN0	IO			LVDS3B_22n	Yes		AP19	DQSn119	DQSn59/CQn59	DQ29	DQ14								
3B	4	VREFB3BN0	IO			LVDS3B_22p	Yes		AN20	DQS119	DQS59/CQ59	DQ29	DQ14								
3B	3	VREFB3BN0	IO			LVDS3B_23n	No		AR19	DQ119	DQ59	DQ29	DQ14								
3B	2	VREFB3BN0	IO			LVDS3B_23p	No		AR20	DQ119	DQ59	DQ29	DQ14								
3B	1	VREFB3BN0	IO			LVDS3B_24n	Yes		AT22	DQ119	DQ59	DQ29	DQ14								
3B	0	VREFB3BN0	IO			LVDS3B_24p	Yes		AR22	DQ119	DQ59	DQ29	DQ14								
3A	47	VREFB3AN0	IO			LVDS3A_1n	No		AP23	DQ120	DQ60	DQ30	DQ15								
3A	46	VREFB3AN0	IO			LVDS3A_1p	No		AP22	DQ120	DQ60	DQ30	DQ15								
3A	45	VREFB3AN0	IO			LVDS3A_2n	Yes		AR25	DQSn120	DQ60	DQ30	DQ15								
3A	44	VREFB3AN0	IO			LVDS3A_2p	Yes		AT25	DQS120	DQ60	DQ30	DQ15								
3A	43	VREFB3AN0	IO			LVDS3A_3n	No		AT24	DQ120	DQ60	DQ30	DQ15								
3A	42	VREFB3AN0	IO			LVDS3A_3p	No		AT23	DQ120	DQ60	DQ30	DQ15								
3A	41	VREFB3AN0	IO			LVDS3A_4n	Yes		AP24	DQSn121	DQSn60/CQn60	DQ30	DQ15								
3A	40	VREFB3AN0	IO			LVDS3A_4p	Yes		AR24	DQS121	DQS60/CQ60	DQ30	DQ15								
3A	39	VREFB3AN0	IO			LVDS3A_5n	No		AR26	DQ121	DQ60	DQ30	DQ15								
3A	38	VREFB3AN0	IO			LVDS3A_5p	No		AP26	DQ121	DQ60	DQ30	DQ15								
3A	37	VREFB3AN0	IO			LVDS3A_6n	Yes		AU22	DQ121	DQ60	DQSn30/CQn30	DQ15								
3A	36	VREFB3AN0	IO			LVDS3A_6p	Yes		AU23	DQ121	DQ60	DQS30/CQ30	DQ15								
3A	35	VREFB3AN0	IO			LVDS3A_7n	No		AY25	DQ122	DQ61	DQ30	DQ15								
3A	34	VREFB3AN0	IO			LVDS3A_7p	No		BA25	DQ122	DQ61	DQ30	DQ15								
3A	33	VREFB3AN0	IO			LVDS3A_8n	Yes		BA24	DQSn122	DQ61	DQ30	DQ15								
3A	32	VREFB3AN0	IO			LVDS3A_8p	Yes		AY24	DQS122	DQ61	DQ30	DQ15								
3A	31	VREFB3AN0	IO			LVDS3A_9n	No		AV25	DQ122	DQ61	DQ30	DQ15								
3A	30	VREFB3AN0	IO			LVDS3A_9p	No		AU25	DQ122	DQ61	DQ30	DQ15								
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n		LVDS3A_10n	Yes		AV23	DQSn123	DQSn61/CQn61	DQ30	DQ15								
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"		LVDS3A_10p	Yes		AW23	DQS123	DQS61/CQ61	DQ30	DQ15								
3A	27	VREFB3AN0	IO			LVDS3A_11n	No		AY22	DQ123	DQ61	DQ30	DQ15								
3A	26	VREFB3AN0	IO	RZQ_3A		LVDS3A_11p	No		AW22	DQ123	DQ61	DQ30	DQ15								
3A	25	VREFB3AN0	IO	CLK_3A_1n		LVDS3A_12n	Yes		AW24	DQ123	DQ61	DQ30	DQ15								
3A	24	VREFB3AN0	IO	CLK_3A_1p		LVDS3A_12p	Yes		AV24	DQ123	DQ61	DQ30	DQ15								
3A	23	VREFB3AN0	IO	CLK_3A_0n		LVDS3A_13n	No		BC24	DQ124	DQ62	DQ31	DQ15								
