Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	RF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
4G			"GXBR4G_RX_CH2n,GXBR4G_REFCLK2n"					AB6				
4G			"GXBR4G_RX_CH2p,GXBR4G_REFCLK2p"					AB5				
4G			GXBR4G_TX_CH1n					AF2				
4G			GXBR4G_TX_CH1p					AF1				
4G			"GXBR4G_RX_CH1n,GXBR4G_REFCLK1n"					AC4				
4G			"GXBR4G_RX_CH1p,GXBR4G_REFCLK1p"					AC3				
4G			GXBR4G_TX_CH0n					AH2				
4G			GXBR4G_TX_CH0p					AH1				
4G			"GXBR4G_RX_CH0n,GXBR4G_REFCLK0n"					AD6				
4G			"GXBR4G_RX_CH0p,GXBR4G_REFCLK0p"					AD5				
4G			REFCLK_GXBR4G_CHBp					AC7				
4G			REFCLK_GXBR4G_CHBn					AC8				
4F			REFCLK_GXBR4F_CHTp					AE7				
4F			REFCLK_GXBR4F_CHTn					AE8				
4F			GXBR4F_TX_CH5n					AK2				
4F			GXBR4F_TX_CH5p					AK1				
4F			"GXBR4F_RX_CH5n,GXBR4F_REFCLK5n"					AE4				
4F			"GXBR4F_RX_CH5p,GXBR4F_REFCLK5p"					AE3				
4F			GXBR4F_TX_CH4n					AL4				
4F			GXBR4F_TX_CH4p					AL3				
4F			"GXBR4F_RX_CH4n,GXBR4F_REFCLK4n"					AF6				
4F			"GXBR4F_RX_CH4p,GXBR4F_REFCLK4p"					AF5				
4F			GXBR4F_TX_CH3n					AM2				
4F			GXBR4F_TX_CH3p					AM1				
4F			"GXBR4F_RX_CH3n,GXBR4F_REFCLK3n"					AG4				
4F			"GXBR4F_RX_CH3p,GXBR4F_REFCLK3p"					AG3				
4F			GXBR4F_TX_CH2n					AN4				
4F			GXBR4F_TX_CH2p					AN3				
4F			"GXBR4F_RX_CH2n,GXBR4F_REFCLK2n"					AH6				
4F			"GXBR4F_RX_CH2p,GXBR4F_REFCLK2p"					AH5				
4F			GXBR4F_TX_CH1n					AP2				
4F			GXBR4F_TX_CH1p					AP1				
4F			"GXBR4F_RX_CH1n,GXBR4F_REFCLK1n"					AJ4				
4F			"GXBR4F_RX_CH1p,GXBR4F_REFCLK1p"					AJ3				
4F			GXBR4F_TX_CH0n					AR4				
4F			GXBR4F_TX_CH0p					AR3				
4F			"GXBR4F_RX_CH0n,GXBR4F_REFCLK0n"					AK6				
4F			"GXBR4F_RX_CH0p,GXBR4F_REFCLK0p"					AK5				
4F			REFCLK_GXBR4F_CHBp					AG7				
4F			REFCLK_GXBR4F_CHBn					AG8				
4E			REFCLK_GXBR4E_CHTp					AJ7				
4E			REFCLK_GXBR4E_CHTn					AJ8				
4E			GXBR4E_TX_CH5n					AT2				
4E			GXBR4E_TX_CH5p					AT1				
4E			"GXBR4E_RX_CH5n,GXBR4E_REFCLK5n"					AM6				
4E			"GXBR4E_RX_CH5p,GXBR4E_REFCLK5p"					AM5				
4E			GXBR4E_TX_CH4n					AU4				
4E			GXBR4E_TX_CH4p					AU3				
4E			"GXBR4E_RX_CH4n,GXBR4E_REFCLK4n"					AP6				
4E			"GXBR4E_RX_CH4p,GXBR4E_REFCLK4p"					AP5				
4E			GXBR4E_TX_CH3n					AV2				
4E			GXBR4E_TX_CH3p					AV1				
4E			"GXBR4E_RX_CH3n,GXBR4E_REFCLK3n"					AT6				
4E			"GXBR4E_RX_CH3p,GXBR4E_REFCLK3p"					AT5				
4E			GXBR4E_TX_CH2n					AW4				
4E			GXBR4E_TX_CH2p					AW3				
4E			"GXBR4E_RX_CH2n,GXBR4E_REFCLK2n"					AR8				
4E			"GXBR4E_RX_CH2p,GXBR4E_REFCLK2p"					AR7				
4E			GXBR4E_TX_CH1n					AV6				
4E			GXBR4E_TX_CH1p					AV5				
4E			"GXBR4E_RX_CH1n,GXBR4E_REFCLK1n"					AU8				
4E			"GXBR4E_RX_CH1p,GXBR4E_REFCLK1p"					AU7				
4E			GXBR4E_TX_CH0n					AW8				
4E			GXBR4E_TX_CH0p					AW7				
4E			"GXBR4E_RX_CH0n,GXBR4E_REFCLK0n"					AV10				
4E			"GXBR4E_RX_CH0p,GXBR4E_REFCLK0p"					AV9				
4E			REFCLK_GXBR4E_CHBp					AL7				
4E			REFCLK_GXBR4E_CHBn					AL8				
			GND					AN18				
CSS			TDO		TDO			AM21				
CSS			TMS		TMS			AJ20				
CSS			TRST		TRST			AL20				
CSS			TCK		TCK			AP20				
CSS			TDI		TDI			AK18				
CSS			MSEL0		MSEL0			AJ19				
CSS			MSEL1		MSEL1			AL21				
CSS			MSEL2		MSEL2			AJ21				
CSS			nIO_PULLUP		nIO_PULLUP			AN19				
CSS			nSTATUS		nSTATUS			AL17				
CSS			CONF_DONE		CONF_DONE			AK17				
			GND					AK20				
CSS			nCONFIG		nCONFIG			AJ17				
CSS			nCE		nCE			AK19				
CSS			nCSO0		nCSO0			AR20				
CSS			nCSO1		nCSO1			AJ16				
CSS			nCSO2		nCSO2			AM18				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"			AP21				
CSS			AS_DATA1		AS_DATA1			AL18				
CSS			AS_DATA2		AS_DATA2			AN21				
CSS			AS_DATA3		AS_DATA3			AM20				
CSS			DCLK		DCLK			AM19				
			ADCGND					J32				
			GND					A14				
			GND					A19				
			GND					A24				
			GND					AA10				
			GND					AA14				
			GND					AA19				
			GND					AA24				
			GND					AA29				
			GND					AB12				
			GND					AB17				
			GND					AB22				
			GND					AB27				
			GND					AC10				
			GND					AC15				
			GND					AC20				
			GND					AC25				
			GND					AC30				
			GND					AD10				
			GND					AD13				
			GND					AD18				
			GND					AD23				
			GND					AD28				
			GND					AD30				
			GND					AE10				
			GND					AE11				
			GND					AE16				
			GND					AE21				
			GND					AE30				
			GND					AF14				
			GND					AF19				
			GND					AF24				
			GND					AF29				
			GND					AG10				
			GND					AG12				
			GND					AG17				
			GND					AG22				
			GND					AG27				
			GND					AG30				
			GND					AH10				
			GND					AH15				
			GND					AH20				
			GND					AH30				
			GND					AJ10				
			GND					AJ13				
			GND					AJ18				
			GND					AJ28				
			GND					AK11				
			GND					AK16				
			GND					AK21				
			GND					AK30				
			GND					AL14				
			GND					AL19				
			GND					AL29				
			GND					AM12				
			GND					AM17				
			GND					AN10				
			GND					AN15				
			GND					AN20				
			GND					AN25				
			GND					AN30				
			GND					AR11				
			GND					AR21				
			GND					AR26				
			GND					AT19				
			GND					AT24				
			GND					AT29				
			GND					AU12				
			GND					AU17				
			GND					AU22				
			GND					AU27				
			GND					AV15				
			GND					AV20				
			GND					AV25				
			GND					AW18				
			GND					AW23				
			GND					B17				
			GND					B22				
			GND					C15				
			GND					C20				
			GND					C25				
			GND					D13				
			GND					D18				
			GND					D23				
			GND					D28				
			GND					E11				
			GND					E21				
			GND					E26				
			GND					F31				
			GND					F9				
			GND					H10				
			GND					H15				
			GND					H20				
			GND					H25				
			GND					H30				
			GND					J28				
			GND					K11				
			GND					K16				
			GND					L14				
			GND					L19				
			GND					L24				
			GND					L29				
			GND					M12				
			GND					M17				
			GND					M22				
			GND					N10				
			GND					N15				
			GND					N20				
			GND					N25				
			GND					N30				
			GND					P13				
			GND					P18				
			GND					P23				
			GND					P28				
			GND					R11				
			GND					R16				
			GND					R21				
			GND					R26				
			GND					T10				
			GND					T14				
			GND					T19				
			GND					T24				
			GND					T29				
			GND					T30				
			GND					U12				
			GND					U17				
			GND					U22				
			GND					U27				
			GND					V10				
			GND					V15				
			GND					V20				
			GND					V25				
			GND					V30				
			GND					W13				
			GND					W18				
			GND					W23				
			GND					W28				
			GND					Y10				
			GND					Y11				
			GND					Y16				
			GND					AA21				
			GND					Y26				
			GND					Y30				
			GND					A27				
			GND					A29				
			GND					A30				
			GND					A31				
			GND					A34				
			GND					A35				
			GND					A38				
			GND					AA30				
			GND					AA31				
			GND					AA34				
			GND					AA35				
			GND					AA38				
			GND					AA39				
			GND					AB36				
			GND					AB37				
			GND					AC34				
			GND					AC35				
			GND					AC38				
			GND					AC39				
			GND					AD32				
			GND					AD33				
			GND					AD36				
			GND					AD37				
			GND					AE31				
			GND					AE34				
			GND					AE35				
			GND					AE38				
			GND					AE39				
			GND					AF36				
			GND					AF37				
			GND					AG34				
			GND					AG35				
			GND					AG38				
			GND					AG39				
			GND					AH32				
			GND					AH33				
			GND					AH36				
			GND					AH37				
			GND					AJ31				
			GND					AJ34				
			GND					AJ35				
			GND					AJ38				
			GND					AJ39				
			GND					AK36				
			GND					AK37				
			GND					AL34				
			GND					AL35				
			GND					AL38				
			GND					AL39				
			GND					AM32				
			GND					AM33				
			GND					AM36				
			GND					AM37				
			GND					AN32				
			GND					AN33				
			GND					AN34				
			GND					AN35				
			GND					AN38				
			GND					AN39				
			GND					AP31				
			GND					AP32				
			GND					AP33				
			GND					AP36				
			GND					AP37				
			GND					AR31				
			GND					AR34				
			GND					AR35				
			GND					AR38				
			GND					AR39				
			GND					AT31				
			GND					AT32				
			GND					AT33				
			GND					AT36				
			GND					AT37				
			GND					AU29				
			GND					AU30				
			GND					AU31				
			GND					AU34				
			GND					AU35				
			GND					AU38				
			GND					AU39				
			GND					AV29				
			GND					AV32				
			GND					AV33				
			GND					AV36				
			GND					AV37				
			GND					AW27				
			GND					AW29				
			GND					AW30				
			GND					AW31				
			GND					AW34				
			GND					AW35				
			GND					AW38				
			GND					B27				
			GND					B28				
			GND					B29				
			GND					B32				
			GND					B33				
			GND					B36				
			GND					B37				
			GND					C29				
			GND					C30				
			GND					C31				
			GND					C34				
			GND					C35				
			GND					C38				
			GND					C39				
			GND					D31				
			GND					D32				
			GND					D33				
			GND					D36				
			GND					D37				
			GND					E31				
			GND					E34				
			GND					E35				
			GND					E38				
			GND					E39				
			GND					F32				
			GND					F33				
			GND					F36				
			GND					F37				
			GND					G31				
			GND					G32				
			GND					G33				
			GND					G34				
			GND					G35				
			GND					G38				
			GND					G39				
			GND					H32				
			GND					H33				
			GND					H36				
			GND					H37				
			GND					J31				
			GND					J34				
			GND					J35				
			GND					J38				
			GND					J39				
			GND					K36				
			GND					K37				
			GND					L34				
			GND					L35				
			GND					L38				
			GND					L39				
			GND					M32				
			GND					M33				
			GND					M36				
			GND					M37				
			GND					N31				
			GND					N34				
			GND					N35				
			GND					N38				
			GND					N39				
			GND					P36				
			GND					P37				
			GND					R34				
			GND					R35				
			GND					R38				
			GND					R39				
			GND					T32				
			GND					T33				
			GND					T36				
			GND					T37				
			GND					U30				
			GND					U31				
			GND					U34				
			GND					U35				
			GND					U38				
			GND					U39				
			GND					V36				
			GND					V37				
			GND					W34				
			GND					W35				
			GND					W38				
			GND					W39				
			GND					Y32				
			GND					Y33				
			GND					Y36				
			GND					Y37				
			GND					A10				
			GND					A11				
			GND					A13				
			GND					A2				
			GND					A5				
			GND					A6				
			GND					A9				
			GND					AA1				
			GND					AA2				
			GND					AA5				
			GND					AA6				
			GND					AA9				
			GND					AB3				
			GND					AB4				
			GND					AC1				
			GND					AC2				
			GND					AC5				
			GND					AC6				
			GND					AD3				
			GND					AD4				
			GND					AD7				
			GND					AD8				
			GND					AE1				
			GND					AE2				
			GND					AE5				
			GND					AE6				
			GND					AE9				
			GND					AF3				
			GND					AF4				
			GND					AG1				
			GND					AG2				
			GND					AG5				
			GND					AG6				
			GND					AH3				
			GND					AH4				
			GND					AH7				
			GND					AH8				
			GND					AJ1				
			GND					AJ2				
			GND					AJ5				
			GND					AJ6				
			GND					AJ9				
			GND					AK3				
			GND					AK4				
			GND					AL1				
			GND					AL2				
			GND					AL5				
			GND					AL6				
			GND					AM3				
			GND					AM4				
			GND					AM7				
			GND					AM8				
			GND					AN1				
			GND					AN2				
			GND					AN5				
			GND					AN6				
			GND					AN7				
			GND					AN8				
			GND					AP3				
			GND					AP4				
			GND					AP7				
			GND					AP8				
			GND					AP9				
			GND					AR1				
			GND					AR2				
			GND					AR5				
			GND					AR6				
			GND					AR9				
			GND					AT3				
			GND					AT4				
			GND					AT7				
			GND					AT8				
			GND					AT9				
			GND					AU1				
			GND					AU10				
			GND					AU11				
			GND					AU2				
			GND					AU5				
			GND					AU6				
			GND					AU9				
			GND					AV11				
			GND					AV3				
			GND					AV4				
			GND					AV7				
			GND					AV8				
			GND					AW10				
			GND					AW11				
			GND					AW13				
			GND					AW2				
			GND					AW5				
			GND					AW6				
			GND					AW9				
			GND					B11				
			GND					B12				
			GND					B13				
			GND					B3				
			GND					B4				
			GND					B7				
			GND					B8				
			GND					C1				
			GND					C10				
			GND					C11				
			GND					C2				
			GND					C5				
			GND					C6				
			GND					C9				
			GND					D3				
			GND					D4				
			GND					D7				
			GND					D8				
			GND					D9				
			GND					E1				
			GND					E2				
			GND					E5				
			GND					E6				
			GND					E9				
			GND					F3				
			GND					F4				
			GND					F7				
			GND					F8				
			GND					G1				
			GND					G2				
			GND					G5				
			GND					G6				
			GND					G7				
			GND					G8				
			GND					G9				
			GND					H3				
			GND					H4				
			GND					H7				
			GND					H8				
			GND					J1				
			GND					J2				
			GND					J5				
			GND					J6				
			GND					J9				
			GND					K3				
			GND					K4				
			GND					L1				
			GND					L2				
			GND					L5				
			GND					L6				
			GND					M10				
			GND					M3				
			GND					M4				
			GND					M7				
			GND					M8				
			GND					N1				
			GND					N2				
			GND					N5				
			GND					N6				
			GND					N9				
			GND					P3				
			GND					P4				
			GND					R1				
			GND					R2				
			GND					R5				
			GND					R6				
			GND					T3				
			GND					T4				
			GND					T7				
			GND					T8				
			GND					U1				
			GND					U10				
			GND					U2				
			GND					U5				
			GND					U6				
			GND					U9				
			GND					V3				
			GND					V4				
			GND					W1				
			GND					W2				
			GND					W5				
			GND					W6				
			GND					Y3				
			GND					Y4				
			GND					Y7				
			GND					Y8				
			GNDSENSE					Y21				
			VCC					AB19				
			VCC					AB20				
			VCC					AB21				
			VCC					AB23				
			VCC					N18				
			VCC					N19				
			VCC					N21				
			VCC					N22				
			VCC					N23				
			VCC					AA15				
			VCC					AA16				
			VCC					AA13				
			VCC					AA25				
			VCC					R15				
			VCC					R17				
			VCC					R18				
			VCC					R19				
			VCC					R20				
			VCC					R22				
			VCC					R23				
			VCC					R24				
			VCC					T13				
			VCC					T15				
			VCC					T16				
			VCC					T17				
			VCC					T18				
			VCC					T20				
			VCC					T21				
			VCC					T22				
			VCC					T23				
			VCC					T25				
			VCC					U13				
			VCC					U14				
			VCC					U15				
			VCC					U16				
			VCC					U18				
			VCC					U19				
			VCC					U20				
			VCC					U21				
			VCC					U23				
			VCC					U24				
			VCC					U25				
			VCC					V13				
			VCC					V14				
			VCC					V16				
			VCC					V17				
			VCC					V18				
			VCC					V19				
			VCC					V21				
			VCC					V22				
			VCC					V23				
			VCC					V24				
			VCC					W14				
			VCC					W15				
			VCC					W16				
			VCC					W17				
			VCC					W19				
			VCC					W20				
			VCC					AA20				
			VCC					W22				
			VCC					W24				
			VCC					W25				
			VCC					Y13				
			VCC					Y14				
			VCC					Y15				
			VCC					Y17				
			VCC					Y18				
			VCC					Y19				
			VCC					Y23				
			VCC					Y24				
			VCC					Y25				
			VCCPT_2					AD21				
			VCCPT_2					AD22				
			VCCPT_2					AD24				
			VCCPT_2					AD25				
			VCCPT_2					AC14				
			VCCPT_2					AD14				
			VCCPT_2					AD15				
			VCCPT_2					N16				
			VCCPT_2					P16				
			VCCPT_2					P19				
			VCCPT_2					N24				
			VCCPT_2					P22				
			VCCPT_2					P24				
			DNU					AV27				
			DNU					AV28				
			DNU					AE12				
			DNU					AF12				
			DNU					AJ14				
			DNU					AK14				
			DNU					AD12				
			DNU					AC12				
			DNU					AH11				
			DNU					AG11				
			DNU					AA12				
			DNU					AH12				
			DNU					W12				
			DNU					Y12				
			DNU					AJ15				
			DNU					AL12				
			DNU					AK15				
			DNU					AK12				
			DNU					AJ12				
			DNU					AH14				
			DNU					AK13				
			DNU					AJ11				
			DNU					AL11				
			DNU					AH21				
			DNU					AL15				
			DNU					AG14				
			DNU					AG21				
			DNU					AF21				
			DNU					AH19				
			DNU					AG13				
			DNU					AH13				
			DNU					AH18				
			DNU					AE13				
			DNU					AG18				
			DNU					AF13				
			DNU					AD26				
			DNU					AF15				
			DNU					AE14				
			DNU					AC26				
			DNU					AG15				
			DNU					AH17				
			DNU					AH16				
			DNU					AG16				
			DNU					AV13				
			DNU					AV12				
			DNU					P10				
			DNU					AF17				
			DNU					Y20				
			DNU					Y22				
			VCCPGM					AG20				
			VCCPGM					AF20				
			TEMPDIODEn					P17				
			TEMPDIODEp					N17				
			VCCBAT					AG19				
			VCCIO2AF					AJ23				
			VCCIO2AF					AL24				
			VCCIO2AF					AM22				
			VCCIO2AF					AP23				
			VCCIO2AF					AE26				
			VCCIO2AF					AH25				
			VCCIO2AF					AK26				
			VCCIO2AF					AM27				
			VCCIO2AF					AP28				
			VCCIO2KL					F29				
			VCCIO2KL					G27				
			VCCIO2KL					K26				
			VCCIO2KL					M27				
			VCCIO2KL					F24				
			VCCIO2KL					G22				
			VCCIO2KL					J23				
			VCCIO2KL					K21				
			VCCIO3AB					AP18				
			VCCIO3AB					AR16				
			VCCIO3AB					AP13				
			VCCIO3AB					AT14				
			VCCIO3GH					F14				
			VCCIO3GH					G12				
			VCCIO3GH					J13				
			VCCIO3GH					E16				
			VCCIO3GH					F19				
			VCCIO3GH					G17				
			VCCIO3GH					J18				
2A		VREFB2AN0	VREFB2AN0					AF23				
2F		VREFB2FN0	VREFB2FN0					AE27				
2K		VREFB2KN0	VREFB2KN0					P26				
2L		VREFB2LN0	VREFB2LN0					M24				
3A		VREFB3AN0	VREFB3AN0					AN17				
3B		VREFB3BN0	VREFB3BN0					AL13				
3G		VREFB3GN0	VREFB3GN0					R13				
3H		VREFB3HN0	VREFB3HN0					M19				
			VREFN_ADC					G10				
			VREFP_ADC					J10				
			NC					AE15				
			NC					AJ30				
			NC					AL30				
			NC					AM30				
			NC					AM31				
			NC					AD29				
			NC					AC28				
			NC					AF30				
			NC					AL10				
			NC					AD27				
			NC					AC27				
			NC					AD11				
			NC					AF10				
			NC					AF11				
			NC					AK10				
			NC					T12				
			NC					R12				
			NC					R10				
			NC					T11				
			NC					AM10				
			NC					V12				
			NC					U11				
			NC					V11				
			NC					AB10				
			NC					AM9				
			NC					W10				
			NC					W11				
			NC					AB11				
			NC					AC11				
			NC					AA11				
			NC					T26				
			NC					T27				
			NC					T28				
			NC					V28				
			NC					U28				
			NC					AB29				
			NC					AB28				
			NC					Y29				
			NC					Y28				
			NC					V29				
			NC					U29				
			NC					AB30				
			NC					AC29				
			NC					AA26				
			NC					Y27				
			NC					W30				
			NC					W29				
			NC					AA28				
			NC					AA27				
			NC					R30				
			NC					P30				
			NC					W26				
			NC					V26				
			NC					V27				
			NC					W27				
			NC					L30				
			NC					M30				
			NC					K30				
			NC					J30				
			NC					G30				
			NC					U26				
			NC					AE18				
			NC					AF18				
			NC					AE17				
			NC					AF16				
			NC					J33				
			NC					AC19				
			NC					AC21				
			NC					AD19				
			NC					AD20				
			NC					AD16				
			NC					AD17				
			NC					AC23				
			NC					AC18				
			NC					AC22				
			NC					AC17				
			NC					P20				
			NC					P15				
			NC					AC13				
			NC					AC16				
			NC					P25				
			NC					AC24				
			NC					AE19				
			NC					AE20				
			VCCH_GXBL					AH31				
			VCCH_GXBL					AD31				
			VCCH_GXBL					Y31				
			VCCH_GXBL					T31				
			VCCH_GXBL					M31				
			VCCH_GXBL					H31				
			VCCH_GXBR					AH9				
			VCCH_GXBR					AD9				
			VCCH_GXBR					Y9				
			VCCH_GXBR					T9				
			VCCH_GXBR					M9				
			VCCH_GXBR					H9				
			VCCR_GXBL1C					AK33				
			VCCR_GXBL1C					AK32				
			VCCR_GXBL1D					AF33				
			VCCR_GXBL1D					AF32				
			VCCR_GXBL1E					AB33				
			VCCR_GXBL1E					AB32				
			VCCR_GXBL1F					V33				
			VCCR_GXBL1F					V32				
			VCCR_GXBL1G					P33				
			VCCR_GXBL1G					P32				
			VCCR_GXBL1H					K33				
			VCCR_GXBL1H					K32				
			VCCR_GXBR4E					AK7				
			VCCR_GXBR4E					AK8				
			VCCR_GXBR4F					AF7				
			VCCR_GXBR4F					AF8				
			VCCR_GXBR4G					AB7				
			VCCR_GXBR4G					AB8				
			VCCR_GXBR4H					V7				
			VCCR_GXBR4H					V8				
			VCCR_GXBR4I					P7				
			VCCR_GXBR4I					P8				
			VCCR_GXBR4J					K7				
			VCCR_GXBR4J					K8				
			VCCT_GXBL1C					AL31				
			VCCT_GXBL1C					AK31				
			VCCT_GXBL1D					AG31				
			VCCT_GXBL1D					AF31				
			VCCT_GXBL1E					AC31				
			VCCT_GXBL1E					AB31				
			VCCT_GXBL1F					W31				
			VCCT_GXBL1F					V31				
			VCCT_GXBL1G					R31				
			VCCT_GXBL1G					P31				
			VCCT_GXBL1H					L31				
			VCCT_GXBL1H					K31				
			VCCT_GXBR4E					AL9				
			VCCT_GXBR4E					AK9				
			VCCT_GXBR4F					AG9				
			VCCT_GXBR4F					AF9				
			VCCT_GXBR4G					AC9				
			VCCT_GXBR4G					AB9				
			VCCT_GXBR4H					W9				
			VCCT_GXBR4H					V9				
			VCCT_GXBR4I					R9				
			VCCT_GXBR4I					P9				
			VCCT_GXBR4J					L9				
			VCCT_GXBR4J					K9				
			RREF_BL					AW28				
			RREF_BR					AW12				
			RREF_TL					A28				
			RREF_TR					A12				
			VCCA_FPLL					AB26				
			VCCA_FPLL					AB15				
			VCCA_FPLL					AB25				
			VCCA_FPLL					AB14				
			VCCA_FPLL					R25				
			VCCA_FPLL					P21				
			VCCA_FPLL					R14				
			VCCA_FPLL					AB13				
			VCCA_FPLL					AB16				
			VCCA_FPLL					AB24				
			VCCERAM					AA17				
			VCCERAM					AA18				
			VCCERAM					AA22				
			VCCERAM					AA23				
			VCCERAM					AB18				
			VCCLSENSE					W21				
			VSIGN_0					K10				
			VSIGN_1					J7				
			VSIGP_0					L10				
			VSIGP_1					J8				
Note:												
"(1) For more information about the external memory interface schemes of the pins with indices, refer to the"												
Arria10EMIF.xls												


"Pin Information for the Arria®10 10AX090 Device
 Version 1.5
"												
									
