Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Soft CDR Support	UF45	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3C	32	VREFB3CN0	IO			LVDS3C_8p	Yes	BA16	DQS106	DQ53	DQ26	DQ13
3C	31	VREFB3CN0	IO			LVDS3C_9n	No	BB15	DQ106	DQ53	DQ26	DQ13
3C	30	VREFB3CN0	IO			LVDS3C_9p	No	BA15	DQ106	DQ53	DQ26	DQ13
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n		LVDS3C_10n	Yes	BC17	DQSn107	DQSn53/CQn53	DQ26	DQ13
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"		LVDS3C_10p	Yes	BD17	DQS107	DQS53/CQ53	DQ26	DQ13
3C	27	VREFB3CN0	IO			LVDS3C_11n	No	BA17	DQ107	DQ53	DQ26	DQ13
3C	26	VREFB3CN0	IO	RZQ_3C		LVDS3C_11p	No	AY17	DQ107	DQ53	DQ26	DQ13
3C	25	VREFB3CN0	IO	CLK_3C_1n		LVDS3C_12n	Yes	AV17	DQ107	DQ53	DQ26	DQ13
3C	24	VREFB3CN0	IO	CLK_3C_1p		LVDS3C_12p	Yes	AW17	DQ107	DQ53	DQ26	DQ13
3C	23	VREFB3CN0	IO	CLK_3C_0n		LVDS3C_13n	No	AN19	DQ108	DQ54	DQ27	DQ13
3C	22	VREFB3CN0	IO	CLK_3C_0p		LVDS3C_13p	No	AM19	DQ108	DQ54	DQ27	DQ13
3C	21	VREFB3CN0	IO			LVDS3C_14n	Yes	AM18	DQSn108	DQ54	DQ27	DQSn13/CQn13
3C	20	VREFB3CN0	IO			LVDS3C_14p	Yes	AL17	DQS108	DQ54	DQ27	DQS13/CQ13
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n		LVDS3C_15n	No	AT18	DQ108	DQ54	DQ27	DQ13
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"		LVDS3C_15p	No	AU19	DQ108	DQ54	DQ27	DQ13
3C	17	VREFB3CN0	IO			LVDS3C_16n	Yes	AT17	DQSn109	DQSn54/CQn54	DQ27	DQ13
3C	16	VREFB3CN0	IO			LVDS3C_16p	Yes	AR18	DQS109	DQS54/CQ54	DQ27	DQ13
3C	15	VREFB3CN0	IO			LVDS3C_17n	No	AR19	DQ109	DQ54	DQ27	DQ13
3C	14	VREFB3CN0	IO			LVDS3C_17p	No	AP19	DQ109	DQ54	DQ27	DQ13
3C	13	VREFB3CN0	IO			LVDS3C_18n	Yes	AR20	DQ109	DQ54	DQSn27/CQn27	DQ13
3C	12	VREFB3CN0	IO			LVDS3C_18p	Yes	AP20	DQ109	DQ54	DQS27/CQ27	DQ13
3C	11	VREFB3CN0	IO			LVDS3C_19n	No	BC18	DQ110	DQ55	DQ27	DQ13
3C	10	VREFB3CN0	IO			LVDS3C_19p	No	BB18	DQ110	DQ55	DQ27	DQ13
3C	9	VREFB3CN0	IO			LVDS3C_20n	Yes	AV18	DQSn110	DQ55	DQ27	DQ13
3C	8	VREFB3CN0	IO			LVDS3C_20p	Yes	AU18	DQS110	DQ55	DQ27	DQ13
3C	7	VREFB3CN0	IO			LVDS3C_21n	No	BA18	DQ110	DQ55	DQ27	DQ13
3C	6	VREFB3CN0	IO			LVDS3C_21p	No	BB19	DQ110	DQ55	DQ27	DQ13
3C	5	VREFB3CN0	IO			LVDS3C_22n	Yes	BC19	DQSn111	DQSn55/CQn55	DQ27	DQ13
3C	4	VREFB3CN0	IO			LVDS3C_22p	Yes	BD19	DQS111	DQS55/CQ55	DQ27	DQ13
3C	3	VREFB3CN0	IO			LVDS3C_23n	No	AY18	DQ111	DQ55	DQ27	DQ13
3C	2	VREFB3CN0	IO			LVDS3C_23p	No	AY19	DQ111	DQ55	DQ27	DQ13
3C	1	VREFB3CN0	IO			LVDS3C_24n	Yes	AV19	DQ111	DQ55	DQ27	DQ13
3C	0	VREFB3CN0	IO			LVDS3C_24p	Yes	AW19	DQ111	DQ55	DQ27	DQ13
3B	47	VREFB3BN0	IO			LVDS3B_1n	No	AT20	DQ112	DQ56	DQ28	DQ14
3B	46	VREFB3BN0	IO			LVDS3B_1p	No	AU20	DQ112	DQ56	DQ28	DQ14
3B	45	VREFB3BN0	IO			LVDS3B_2n	Yes	AW20	DQSn112	DQ56	DQ28	DQ14
3B	44	VREFB3BN0	IO			LVDS3B_2p	Yes	AV21	DQS112	DQ56	DQ28	DQ14
3B	43	VREFB3BN0	IO			LVDS3B_3n	No	AN21	DQ112	DQ56	DQ28	DQ14
3B	42	VREFB3BN0	IO			LVDS3B_3p	No	AP21	DQ112	DQ56	DQ28	DQ14
3B	41	VREFB3BN0	IO			LVDS3B_4n	Yes	AV22	DQSn113	DQSn56/CQn56	DQ28	DQ14
3B	40	VREFB3BN0	IO			LVDS3B_4p	Yes	AW21	DQS113	DQS56/CQ56	DQ28	DQ14
3B	39	VREFB3BN0	IO			LVDS3B_5n	No	AU21	DQ113	DQ56	DQ28	DQ14
3B	38	VREFB3BN0	IO			LVDS3B_5p	No	AT21	DQ113	DQ56	DQ28	DQ14
3B	37	VREFB3BN0	IO			LVDS3B_6n	Yes	AR22	DQ113	DQ56	DQSn28/CQn28	DQ14
3B	36	VREFB3BN0	IO			LVDS3B_6p	Yes	AT22	DQ113	DQ56	DQS28/CQ28	DQ14
3B	35	VREFB3BN0	IO			LVDS3B_7n	No	BA20	DQ114	DQ57	DQ28	DQ14
3B	34	VREFB3BN0	IO			LVDS3B_7p	No	BB20	DQ114	DQ57	DQ28	DQ14
3B	33	VREFB3BN0	IO			LVDS3B_8n	Yes	AY20	DQSn114	DQ57	DQ28	DQ14
3B	32	VREFB3BN0	IO			LVDS3B_8p	Yes	BA21	DQS114	DQ57	DQ28	DQ14
3B	31	VREFB3BN0	IO			LVDS3B_9n	No	BD21	DQ114	DQ57	DQ28	DQ14
3B	30	VREFB3BN0	IO			LVDS3B_9p	No	BD20	DQ114	DQ57	DQ28	DQ14
3B	29	VREFB3BN0	IO	PLL_3B_CLKOUT1n		LVDS3B_10n	Yes	BD22	DQSn115	DQSn57/CQn57	DQ28	DQ14
3B	28	VREFB3BN0	IO	"PLL_3B_CLKOUT1p,PLL_3B_CLKOUT1,PLL_3B_FB1"		LVDS3B_10p	Yes	BC22	DQS115	DQS57/CQ57	DQ28	DQ14
3B	27	VREFB3BN0	IO			LVDS3B_11n	No	BA22	DQ115	DQ57	DQ28	DQ14
3B	26	VREFB3BN0	IO	RZQ_3B		LVDS3B_11p	No	AY22	DQ115	DQ57	DQ28	DQ14
3B	25	VREFB3BN0	IO	CLK_3B_1n		LVDS3B_12n	Yes	BC21	DQ115	DQ57	DQ28	DQ14
3B	24	VREFB3BN0	IO	CLK_3B_1p		LVDS3B_12p	Yes	BB21	DQ115	DQ57	DQ28	DQ14
3B	23	VREFB3BN0	IO	CLK_3B_0n		LVDS3B_13n	No	AM23	DQ116	DQ58	DQ29	DQ14
3B	22	VREFB3BN0	IO	CLK_3B_0p		LVDS3B_13p	No	AN23	DQ116	DQ58	DQ29	DQ14
3B	21	VREFB3BN0	IO			LVDS3B_14n	Yes	AU23	DQSn116	DQ58	DQ29	DQSn14/CQn14
3B	20	VREFB3BN0	IO			LVDS3B_14p	Yes	AV23	DQS116	DQ58	DQ29	DQS14/CQ14
3B	19	VREFB3BN0	IO	PLL_3B_CLKOUT0n		LVDS3B_15n	No	AT23	DQ116	DQ58	DQ29	DQ14
3B	18	VREFB3BN0	IO	"PLL_3B_CLKOUT0p,PLL_3B_CLKOUT0,PLL_3B_FB0"		LVDS3B_15p	No	AR23	DQ116	DQ58	DQ29	DQ14
3B	17	VREFB3BN0	IO			LVDS3B_16n	Yes	AM24	DQSn117	DQSn58/CQn58	DQ29	DQ14
3B	16	VREFB3BN0	IO			LVDS3B_16p	Yes	AN24	DQS117	DQS58/CQ58	DQ29	DQ14
3B	15	VREFB3BN0	IO			LVDS3B_17n	No	AP22	DQ117	DQ58	DQ29	DQ14
3B	14	VREFB3BN0	IO			LVDS3B_17p	No	AN22	DQ117	DQ58	DQ29	DQ14
3B	13	VREFB3BN0	IO			LVDS3B_18n	Yes	AP24	DQ117	DQ58	DQSn29/CQn29	DQ14
3B	12	VREFB3BN0	IO			LVDS3B_18p	Yes	AR24	DQ117	DQ58	DQS29/CQ29	DQ14
3B	11	VREFB3BN0	IO			LVDS3B_19n	No	BB23	DQ118	DQ59	DQ29	DQ14
3B	10	VREFB3BN0	IO			LVDS3B_19p	No	BC23	DQ118	DQ59	DQ29	DQ14
3B	9	VREFB3BN0	IO			LVDS3B_20n	Yes	BA23	DQSn118	DQ59	DQ29	DQ14
3B	8	VREFB3BN0	IO			LVDS3B_20p	Yes	BB24	DQS118	DQ59	DQ29	DQ14
3B	7	VREFB3BN0	IO			LVDS3B_21n	No	AW22	DQ118	DQ59	DQ29	DQ14
3B	6	VREFB3BN0	IO			LVDS3B_21p	No	AY23	DQ118	DQ59	DQ29	DQ14
3B	5	VREFB3BN0	IO			LVDS3B_22n	Yes	AU24	DQSn119	DQSn59/CQn59	DQ29	DQ14
3B	4	VREFB3BN0	IO			LVDS3B_22p	Yes	AV24	DQS119	DQS59/CQ59	DQ29	DQ14
3B	3	VREFB3BN0	IO			LVDS3B_23n	No	AY24	DQ119	DQ59	DQ29	DQ14
3B	2	VREFB3BN0	IO			LVDS3B_23p	No	AW24	DQ119	DQ59	DQ29	DQ14
3B	1	VREFB3BN0	IO			LVDS3B_24n	Yes	BC24	DQ119	DQ59	DQ29	DQ14
3B	0	VREFB3BN0	IO			LVDS3B_24p	Yes	BD24	DQ119	DQ59	DQ29	DQ14
3A	47	VREFB3AN0	IO			LVDS3A_1n	No	AV27	DQ120	DQ60	DQ30	DQ15
3A	46	VREFB3AN0	IO			LVDS3A_1p	No	AW27	DQ120	DQ60	DQ30	DQ15
3A	45	VREFB3AN0	IO			LVDS3A_2n	Yes	AV28	DQSn120	DQ60	DQ30	DQ15
3A	44	VREFB3AN0	IO			LVDS3A_2p	Yes	AU28	DQS120	DQ60	DQ30	DQ15
3A	43	VREFB3AN0	IO			LVDS3A_3n	No	AR29	DQ120	DQ60	DQ30	DQ15
3A	42	VREFB3AN0	IO			LVDS3A_3p	No	AT28	DQ120	DQ60	DQ30	DQ15
3A	41	VREFB3AN0	IO			LVDS3A_4n	Yes	AN28	DQSn121	DQSn60/CQn60	DQ30	DQ15
3A	40	VREFB3AN0	IO			LVDS3A_4p	Yes	AM28	DQS121	DQS60/CQ60	DQ30	DQ15
3A	39	VREFB3AN0	IO			LVDS3A_5n	No	AN27	DQ121	DQ60	DQ30	DQ15
3A	38	VREFB3AN0	IO			LVDS3A_5p	No	AP27	DQ121	DQ60	DQ30	DQ15
3A	37	VREFB3AN0	IO			LVDS3A_6n	Yes	AR28	DQ121	DQ60	DQSn30/CQn30	DQ15
3A	36	VREFB3AN0	IO			LVDS3A_6p	Yes	AR27	DQ121	DQ60	DQS30/CQ30	DQ15
3A	35	VREFB3AN0	IO			LVDS3A_7n	No	AU29	DQ122	DQ61	DQ30	DQ15
3A	34	VREFB3AN0	IO			LVDS3A_7p	No	AV29	DQ122	DQ61	DQ30	DQ15
3A	33	VREFB3AN0	IO			LVDS3A_8n	Yes	AY29	DQSn122	DQ61	DQ30	DQ15
3A	32	VREFB3AN0	IO			LVDS3A_8p	Yes	AW29	DQS122	DQ61	DQ30	DQ15
3A	31	VREFB3AN0	IO			LVDS3A_9n	No	BB28	DQ122	DQ61	DQ30	DQ15
3A	30	VREFB3AN0	IO			LVDS3A_9p	No	BB29	DQ122	DQ61	DQ30	DQ15
3A	29	VREFB3AN0	IO	PLL_3A_CLKOUT1n		LVDS3A_10n	Yes	AY28	DQSn123	DQSn61/CQn61	DQ30	DQ15
3A	28	VREFB3AN0	IO	"PLL_3A_CLKOUT1p,PLL_3A_CLKOUT1,PLL_3A_FB1"		LVDS3A_10p	Yes	BA28	DQS123	DQS61/CQ61	DQ30	DQ15
3A	27	VREFB3AN0	IO			LVDS3A_11n	No	BC28	DQ123	DQ61	DQ30	DQ15
3A	26	VREFB3AN0	IO	RZQ_3A		LVDS3A_11p	No	BC27	DQ123	DQ61	DQ30	DQ15
3A	25	VREFB3AN0	IO	CLK_3A_1n		LVDS3A_12n	Yes	BD29	DQ123	DQ61	DQ30	DQ15
3A	24	VREFB3AN0	IO	CLK_3A_1p		LVDS3A_12p	Yes	BC29	DQ123	DQ61	DQ30	DQ15
3A	23	VREFB3AN0	IO	CLK_3A_0n		LVDS3A_13n	No	AN26	DQ124	DQ62	DQ31	DQ15
3A	22	VREFB3AN0	IO	CLK_3A_0p		LVDS3A_13p	No	AM25	DQ124	DQ62	DQ31	DQ15
3A	21	VREFB3AN0	IO			LVDS3A_14n	Yes	AT25	DQSn124	DQ62	DQ31	DQSn15/CQn15
3A	20	VREFB3AN0	IO			LVDS3A_14p	Yes	AR25	DQS124	DQ62	DQ31	DQS15/CQ15
3A	19	VREFB3AN0	IO	PLL_3A_CLKOUT0n		LVDS3A_15n	No	AU26	DQ124	DQ62	DQ31	DQ15
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"		LVDS3A_15p	No	AU25	DQ124	DQ62	DQ31	DQ15
3A	17	VREFB3AN0	IO			LVDS3A_16n	Yes	AW26	DQSn125	DQSn62/CQn62	DQ31	DQ15
3A	16	VREFB3AN0	IO			LVDS3A_16p	Yes	AV26	DQS125	DQS62/CQ62	DQ31	DQ15
3A	15	VREFB3AN0	IO			LVDS3A_17n	No	AP26	DQ125	DQ62	DQ31	DQ15
3A	14	VREFB3AN0	IO			LVDS3A_17p	No	AP25	DQ125	DQ62	DQ31	DQ15
3A	13	VREFB3AN0	IO			LVDS3A_18n	Yes	AT27	DQ125	DQ62	DQSn31/CQn31	DQ15
3A	12	VREFB3AN0	IO			LVDS3A_18p	Yes	AT26	DQ125	DQ62	DQS31/CQ31	DQ15
3A	11	VREFB3AN0	IO			LVDS3A_19n	No	AY27	DQ126	DQ63	DQ31	DQ15
3A	10	VREFB3AN0	IO			LVDS3A_19p	No	BA27	DQ126	DQ63	DQ31	DQ15
3A	9	VREFB3AN0	IO			LVDS3A_20n	Yes	BD27	DQSn126	DQ63	DQ31	DQ15
3A	8	VREFB3AN0	IO			LVDS3A_20p	Yes	BC26	DQS126	DQ63	DQ31	DQ15
3A	7	VREFB3AN0	IO			LVDS3A_21n	No	AY25	DQ126	DQ63	DQ31	DQ15
3A	6	VREFB3AN0	IO			LVDS3A_21p	No	AW25	DQ126	DQ63	DQ31	DQ15
3A	5	VREFB3AN0	IO			LVDS3A_22n	Yes	BA26	DQSn127	DQSn63/CQn63	DQ31	DQ15
3A	4	VREFB3AN0	IO			LVDS3A_22p	Yes	BB26	DQS127	DQS63/CQ63	DQ31	DQ15
3A	3	VREFB3AN0	IO			LVDS3A_23n	No	BB25	DQ127	DQ63	DQ31	DQ15
3A	2	VREFB3AN0	IO			LVDS3A_23p	No	BA25	DQ127	DQ63	DQ31	DQ15
3A	1	VREFB3AN0	IO			LVDS3A_24n	Yes	BD25	DQ127	DQ63	DQ31	DQ15
3A	0	VREFB3AN0	IO			LVDS3A_24p	Yes	BD26	DQ127	DQ63	DQ31	DQ15
4J			REFCLK_GXBR4J_CHTp					H9				
4J			REFCLK_GXBR4J_CHTn					H10				
4J			GXBR4J_TX_CH5n					A12				
4J			GXBR4J_TX_CH5p					A11				
4J			"GXBR4J_RX_CH5n,GXBR4J_REFCLK5n"					C12				
4J			"GXBR4J_RX_CH5p,GXBR4J_REFCLK5p"					C11				
4J			GXBR4J_TX_CH4n					A8				
4J			GXBR4J_TX_CH4p					A7				
4J			"GXBR4J_RX_CH4n,GXBR4J_REFCLK4n"					E12				
4J			"GXBR4J_RX_CH4p,GXBR4J_REFCLK4p"					E11				
4J			GXBR4J_TX_CH3n					B6				
4J			GXBR4J_TX_CH3p					B5				
4J			"GXBR4J_RX_CH3n,GXBR4J_REFCLK3n"					B10				
4J			"GXBR4J_RX_CH3p,GXBR4J_REFCLK3p"					B9				
4J			GXBR4J_TX_CH2n					A4				
4J			GXBR4J_TX_CH2p					A3				
4J			"GXBR4J_RX_CH2n,GXBR4J_REFCLK2n"					D10				
4J			"GXBR4J_RX_CH2p,GXBR4J_REFCLK2p"					D9				
4J			GXBR4J_TX_CH1n					B2				
4J			GXBR4J_TX_CH1p					B1				
4J			"GXBR4J_RX_CH1n,GXBR4J_REFCLK1n"					F10				
4J			"GXBR4J_RX_CH1p,GXBR4J_REFCLK1p"					F9				
4J			GXBR4J_TX_CH0n					C4				
4J			GXBR4J_TX_CH0p					C3				
4J			"GXBR4J_RX_CH0n,GXBR4J_REFCLK0n"					C8				
4J			"GXBR4J_RX_CH0p,GXBR4J_REFCLK0p"					C7				
4J			REFCLK_GXBR4J_CHBp					K9				
4J			REFCLK_GXBR4J_CHBn					K10				
4I			REFCLK_GXBR4I_CHTp					M9				
4I			REFCLK_GXBR4I_CHTn					M10				
4I			GXBR4I_TX_CH5n					D2				
4I			GXBR4I_TX_CH5p					D1				
4I			"GXBR4I_RX_CH5n,GXBR4I_REFCLK5n"					E8				
4I			"GXBR4I_RX_CH5p,GXBR4I_REFCLK5p"					E7				
4I			GXBR4I_TX_CH4n					E4				
4I			GXBR4I_TX_CH4p					E3				
4I			"GXBR4I_RX_CH4n,GXBR4I_REFCLK4n"					D6				
4I			"GXBR4I_RX_CH4p,GXBR4I_REFCLK4p"					D5				
4I			GXBR4I_TX_CH3n					F2				
4I			GXBR4I_TX_CH3p					F1				
4I			"GXBR4I_RX_CH3n,GXBR4I_REFCLK3n"					G8				
4I			"GXBR4I_RX_CH3p,GXBR4I_REFCLK3p"					G7				
4I			GXBR4I_TX_CH2n					G4				
4I			GXBR4I_TX_CH2p					G3				
4I			"GXBR4I_RX_CH2n,GXBR4I_REFCLK2n"					F6				
4I			"GXBR4I_RX_CH2p,GXBR4I_REFCLK2p"					F5				
4I			GXBR4I_TX_CH1n					H2				
4I			GXBR4I_TX_CH1p					H1				
4I			"GXBR4I_RX_CH1n,GXBR4I_REFCLK1n"					H6				
4I			"GXBR4I_RX_CH1p,GXBR4I_REFCLK1p"					H5				
4I			GXBR4I_TX_CH0n					J4				
4I			GXBR4I_TX_CH0p					J3				
4I			"GXBR4I_RX_CH0n,GXBR4I_REFCLK0n"					J8				
4I			"GXBR4I_RX_CH0p,GXBR4I_REFCLK0p"					J7				
4I			REFCLK_GXBR4I_CHBp					P9				
4I			REFCLK_GXBR4I_CHBn					P10				
4H			REFCLK_GXBR4H_CHTp					T9				
4H			REFCLK_GXBR4H_CHTn					T10				
4H			GXBR4H_TX_CH5n					K2				
4H			GXBR4H_TX_CH5p					K1				
4H			"GXBR4H_RX_CH5n,GXBR4H_REFCLK5n"					K6				
4H			"GXBR4H_RX_CH5p,GXBR4H_REFCLK5p"					K5				
4H			GXBR4H_TX_CH4n					L4				
4H			GXBR4H_TX_CH4p					L3				
4H			"GXBR4H_RX_CH4n,GXBR4H_REFCLK4n"					L8				
4H			"GXBR4H_RX_CH4p,GXBR4H_REFCLK4p"					L7				
4H			GXBR4H_TX_CH3n					M2				
4H			GXBR4H_TX_CH3p					M1				
4H			"GXBR4H_RX_CH3n,GXBR4H_REFCLK3n"					M6				
4H			"GXBR4H_RX_CH3p,GXBR4H_REFCLK3p"					M5				
4H			GXBR4H_TX_CH2n					N4				
4H			GXBR4H_TX_CH2p					N3				
4H			"GXBR4H_RX_CH2n,GXBR4H_REFCLK2n"					N8				
4H			"GXBR4H_RX_CH2p,GXBR4H_REFCLK2p"					N7				
4H			GXBR4H_TX_CH1n					P2				
4H			GXBR4H_TX_CH1p					P1				
4H			"GXBR4H_RX_CH1n,GXBR4H_REFCLK1n"					P6				
4H			"GXBR4H_RX_CH1p,GXBR4H_REFCLK1p"					P5				
4H			GXBR4H_TX_CH0n					R4				
4H			GXBR4H_TX_CH0p					R3				
4H			"GXBR4H_RX_CH0n,GXBR4H_REFCLK0n"					R8				
4H			"GXBR4H_RX_CH0p,GXBR4H_REFCLK0p"					R7				
4H			REFCLK_GXBR4H_CHBp					V9				
4H			REFCLK_GXBR4H_CHBn					V10				
4G			REFCLK_GXBR4G_CHTp					Y9				
4G			REFCLK_GXBR4G_CHTn					Y10				
4G			GXBR4G_TX_CH5n					T2				
4G			GXBR4G_TX_CH5p					T1				
4G			"GXBR4G_RX_CH5n,GXBR4G_REFCLK5n"					T6				
4G			"GXBR4G_RX_CH5p,GXBR4G_REFCLK5p"					T5				
4G			GXBR4G_TX_CH4n					U4				
4G			GXBR4G_TX_CH4p					U3				
4G			"GXBR4G_RX_CH4n,GXBR4G_REFCLK4n"					U8				
4G			"GXBR4G_RX_CH4p,GXBR4G_REFCLK4p"					U7				
4G			GXBR4G_TX_CH3n					V2				
4G			GXBR4G_TX_CH3p					V1				
4G			"GXBR4G_RX_CH3n,GXBR4G_REFCLK3n"					V6				
4G			"GXBR4G_RX_CH3p,GXBR4G_REFCLK3p"					V5				
4G			GXBR4G_TX_CH2n					W4				
4G			GXBR4G_TX_CH2p					W3				
4G			"GXBR4G_RX_CH2n,GXBR4G_REFCLK2n"					W8				
4G			"GXBR4G_RX_CH2p,GXBR4G_REFCLK2p"					W7				
4G			GXBR4G_TX_CH1n					Y2				
4G			GXBR4G_TX_CH1p					Y1				
4G			"GXBR4G_RX_CH1n,GXBR4G_REFCLK1n"					Y6				
4G			"GXBR4G_RX_CH1p,GXBR4G_REFCLK1p"					Y5				
4G			GXBR4G_TX_CH0n					AA4				
4G			GXBR4G_TX_CH0p					AA3				
4G			"GXBR4G_RX_CH0n,GXBR4G_REFCLK0n"					AA8				
4G			"GXBR4G_RX_CH0p,GXBR4G_REFCLK0p"					AA7				
4G			REFCLK_GXBR4G_CHBp					AB9				
4G			REFCLK_GXBR4G_CHBn					AB10				
4F			REFCLK_GXBR4F_CHTp					AD9				
4F			REFCLK_GXBR4F_CHTn					AD10				
4F			GXBR4F_TX_CH5n					AB2				
4F			GXBR4F_TX_CH5p					AB1				
4F			"GXBR4F_RX_CH5n,GXBR4F_REFCLK5n"					AB6				
4F			"GXBR4F_RX_CH5p,GXBR4F_REFCLK5p"					AB5				
4F			GXBR4F_TX_CH4n					AC4				
4F			GXBR4F_TX_CH4p					AC3				
4F			"GXBR4F_RX_CH4n,GXBR4F_REFCLK4n"					AC8				
4F			"GXBR4F_RX_CH4p,GXBR4F_REFCLK4p"					AC7				
4F			GXBR4F_TX_CH3n					AD2				
4F			GXBR4F_TX_CH3p					AD1				
4F			"GXBR4F_RX_CH3n,GXBR4F_REFCLK3n"					AD6				
4F			"GXBR4F_RX_CH3p,GXBR4F_REFCLK3p"					AD5				
4F			GXBR4F_TX_CH2n					AE4				
4F			GXBR4F_TX_CH2p					AE3				
4F			"GXBR4F_RX_CH2n,GXBR4F_REFCLK2n"					AE8				
4F			"GXBR4F_RX_CH2p,GXBR4F_REFCLK2p"					AE7				
4F			GXBR4F_TX_CH1n					AF2				
4F			GXBR4F_TX_CH1p					AF1				
4F			"GXBR4F_RX_CH1n,GXBR4F_REFCLK1n"					AF6				
4F			"GXBR4F_RX_CH1p,GXBR4F_REFCLK1p"					AF5				
4F			GXBR4F_TX_CH0n					AG4				
4F			GXBR4F_TX_CH0p					AG3				
4F			"GXBR4F_RX_CH0n,GXBR4F_REFCLK0n"					AG8				
4F			"GXBR4F_RX_CH0p,GXBR4F_REFCLK0p"					AG7				
4F			REFCLK_GXBR4F_CHBp					AF9				
4F			REFCLK_GXBR4F_CHBn					AF10				
4E			REFCLK_GXBR4E_CHTp					AH9				
4E			REFCLK_GXBR4E_CHTn					AH10				
4E			GXBR4E_TX_CH5n					AH2				
4E			GXBR4E_TX_CH5p					AH1				
4E			"GXBR4E_RX_CH5n,GXBR4E_REFCLK5n"					AH6				
4E			"GXBR4E_RX_CH5p,GXBR4E_REFCLK5p"					AH5				
4E			GXBR4E_TX_CH4n					AJ4				
4E			GXBR4E_TX_CH4p					AJ3				
4E			"GXBR4E_RX_CH4n,GXBR4E_REFCLK4n"					AJ8				
4E			"GXBR4E_RX_CH4p,GXBR4E_REFCLK4p"					AJ7				
4E			GXBR4E_TX_CH3n					AK2				
4E			GXBR4E_TX_CH3p					AK1				
4E			"GXBR4E_RX_CH3n,GXBR4E_REFCLK3n"					AK6				
4E			"GXBR4E_RX_CH3p,GXBR4E_REFCLK3p"					AK5				
4E			GXBR4E_TX_CH2n					AL4				
4E			GXBR4E_TX_CH2p					AL3				
4E			"GXBR4E_RX_CH2n,GXBR4E_REFCLK2n"					AL8				
4E			"GXBR4E_RX_CH2p,GXBR4E_REFCLK2p"					AL7				
4E			GXBR4E_TX_CH1n					AM2				
4E			GXBR4E_TX_CH1p					AM1				
4E			"GXBR4E_RX_CH1n,GXBR4E_REFCLK1n"					AM6				
4E			"GXBR4E_RX_CH1p,GXBR4E_REFCLK1p"					AM5				
4E			GXBR4E_TX_CH0n					AN4				
4E			GXBR4E_TX_CH0p					AN3				
4E			"GXBR4E_RX_CH0n,GXBR4E_REFCLK0n"					AN8				
4E			"GXBR4E_RX_CH0p,GXBR4E_REFCLK0p"					AN7				
4E			REFCLK_GXBR4E_CHBp					AK9				
4E			REFCLK_GXBR4E_CHBn					AK10				
4D			REFCLK_GXBR4D_CHTp					AM9				
4D			REFCLK_GXBR4D_CHTn					AM10				
4D			GXBR4D_TX_CH5n					AP2				
4D			GXBR4D_TX_CH5p					AP1				
4D			"GXBR4D_RX_CH5n,GXBR4D_REFCLK5n"					AP6				
4D			"GXBR4D_RX_CH5p,GXBR4D_REFCLK5p"					AP5				
4D			GXBR4D_TX_CH4n					AR4				
4D			GXBR4D_TX_CH4p					AR3				
4D			"GXBR4D_RX_CH4n,GXBR4D_REFCLK4n"					AR8				
4D			"GXBR4D_RX_CH4p,GXBR4D_REFCLK4p"					AR7				
4D			GXBR4D_TX_CH3n					AT2				
4D			GXBR4D_TX_CH3p					AT1				
4D			"GXBR4D_RX_CH3n,GXBR4D_REFCLK3n"					AT6				
4D			"GXBR4D_RX_CH3p,GXBR4D_REFCLK3p"					AT5				
4D			GXBR4D_TX_CH2n					AU4				
4D			GXBR4D_TX_CH2p					AU3				
4D			"GXBR4D_RX_CH2n,GXBR4D_REFCLK2n"					AU8				
4D			"GXBR4D_RX_CH2p,GXBR4D_REFCLK2p"					AU7				
4D			GXBR4D_TX_CH1n					AV2				
4D			GXBR4D_TX_CH1p					AV1				
4D			"GXBR4D_RX_CH1n,GXBR4D_REFCLK1n"					AV6				
4D			"GXBR4D_RX_CH1p,GXBR4D_REFCLK1p"					AV5				
4D			GXBR4D_TX_CH0n					AW4				
4D			GXBR4D_TX_CH0p					AW3				
4D			"GXBR4D_RX_CH0n,GXBR4D_REFCLK0n"					AW8				
4D			"GXBR4D_RX_CH0p,GXBR4D_REFCLK0p"					AW7				
4D			REFCLK_GXBR4D_CHBp					AP9				
4D			REFCLK_GXBR4D_CHBn					AP10				
4C			REFCLK_GXBR4C_CHTp					AT9				
4C			REFCLK_GXBR4C_CHTn					AT10				
4C			GXBR4C_TX_CH5n					AY2				
4C			GXBR4C_TX_CH5p					AY1				
4C			"GXBR4C_RX_CH5n,GXBR4C_REFCLK5n"					AY6				
4C			"GXBR4C_RX_CH5p,GXBR4C_REFCLK5p"					AY5				
4C			GXBR4C_TX_CH4n					BA4				
4C			GXBR4C_TX_CH4p					BA3				
