Bank Number	Index within I/O Bank (1)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	KF40	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3G	32	VREFB3GN0	IO				LVDS3G_8p	Yes	J10	DQS74	DQ37	DQ18	DQ9
3G	31	VREFB3GN0	IO				LVDS3G_9n	No	J8	DQ74	DQ37	DQ18	DQ9
3G	30	VREFB3GN0	IO				LVDS3G_9p	No	H8	DQ74	DQ37	DQ18	DQ9
3G	29	VREFB3GN0	IO	PLL_3G_CLKOUT1n			LVDS3G_10n	Yes	G9	DQSn75	DQSn37/CQn37	DQ18	DQ9
3G	28	VREFB3GN0	IO	"PLL_3G_CLKOUT1p,PLL_3G_CLKOUT1,PLL_3G_FB1"			LVDS3G_10p	Yes	F9	DQS75	DQS37/CQ37	DQ18	DQ9
3G	27	VREFB3GN0	IO				LVDS3G_11n	No	J9	DQ75	DQ37	DQ18	DQ9
3G	26	VREFB3GN0	IO	RZQ_3G			LVDS3G_11p	No	H9	DQ75	DQ37	DQ18	DQ9
3G	25	VREFB3GN0	IO	CLK_3G_1n			LVDS3G_12n	Yes	L8	DQ75	DQ37	DQ18	DQ9
3G	24	VREFB3GN0	IO	CLK_3G_1p			LVDS3G_12p	Yes	K8	DQ75	DQ37	DQ18	DQ9
3G	23	VREFB3GN0	IO	CLK_3G_0n			LVDS3G_13n	No	A4	DQ76	DQ38	DQ19	DQ9
3G	22	VREFB3GN0	IO	CLK_3G_0p			LVDS3G_13p	No	A3	DQ76	DQ38	DQ19	DQ9
3G	21	VREFB3GN0	IO				LVDS3G_14n	Yes	C7	DQSn76	DQ38	DQ19	DQSn9/CQn9
3G	20	VREFB3GN0	IO				LVDS3G_14p	Yes	B7	DQS76	DQ38	DQ19	DQS9/CQ9
3G	19	VREFB3GN0	IO	PLL_3G_CLKOUT0n			LVDS3G_15n	No	C3	DQ76	DQ38	DQ19	DQ9
3G	18	VREFB3GN0	IO	"PLL_3G_CLKOUT0p,PLL_3G_CLKOUT0,PLL_3G_FB0"			LVDS3G_15p	No	B4	DQ76	DQ38	DQ19	DQ9
3G	17	VREFB3GN0	IO				LVDS3G_16n	Yes	D4	DQSn77	DQSn38/CQn38	DQ19	DQ9
3G	16	VREFB3GN0	IO				LVDS3G_16p	Yes	C4	DQS77	DQS38/CQ38	DQ19	DQ9
3G	15	VREFB3GN0	IO				LVDS3G_17n	No	C6	DQ77	DQ38	DQ19	DQ9
3G	14	VREFB3GN0	IO				LVDS3G_17p	No	B6	DQ77	DQ38	DQ19	DQ9
3G	13	VREFB3GN0	IO				LVDS3G_18n	Yes	E7	DQ77	DQ38	DQSn19/CQn19	DQ9
3G	12	VREFB3GN0	IO				LVDS3G_18p	Yes	E6	DQ77	DQ38	DQS19/CQ19	DQ9
3G	11	VREFB3GN0	IO				LVDS3G_19n	No	B5	DQ78	DQ39	DQ19	DQ9
3G	10	VREFB3GN0	IO				LVDS3G_19p	No	A5	DQ78	DQ39	DQ19	DQ9
3G	9	VREFB3GN0	IO				LVDS3G_20n	Yes	F8	DQSn78	DQ39	DQ19	DQ9
3G	8	VREFB3GN0	IO				LVDS3G_20p	Yes	E8	DQS78	DQ39	DQ19	DQ9
3G	7	VREFB3GN0	IO				LVDS3G_21n	No	D6	DQ78	DQ39	DQ19	DQ9
3G	6	VREFB3GN0	IO				LVDS3G_21p	No	D5	DQ78	DQ39	DQ19	DQ9
3G	5	VREFB3GN0	IO				LVDS3G_22n	Yes	F5	DQSn79	DQSn39/CQn39	DQ19	DQ9
3G	4	VREFB3GN0	IO				LVDS3G_22p	Yes	E5	DQS79	DQS39/CQ39	DQ19	DQ9
3G	3	VREFB3GN0	IO				LVDS3G_23n	No	G7	DQ79	DQ39	DQ19	DQ9
3G	2	VREFB3GN0	IO				LVDS3G_23p	No	F7	DQ79	DQ39	DQ19	DQ9
3G	1	VREFB3GN0	IO				LVDS3G_24n	Yes	H7	DQ79	DQ39	DQ19	DQ9
3G	0	VREFB3GN0	IO				LVDS3G_24p	Yes	G6	DQ79	DQ39	DQ19	DQ9
3F	47	VREFB3FN0	IO				LVDS3F_1n	No	P9	DQ80	DQ40	DQ20	DQ10
3F	46	VREFB3FN0	IO				LVDS3F_1p	No	R8	DQ80	DQ40	DQ20	DQ10
3F	45	VREFB3FN0	IO				LVDS3F_2n	Yes	T8	DQSn80	DQ40	DQ20	DQ10
3F	44	VREFB3FN0	IO				LVDS3F_2p	Yes	R7	DQS80	DQ40	DQ20	DQ10
3F	43	VREFB3FN0	IO				LVDS3F_3n	No	U10	DQ80	DQ40	DQ20	DQ10
3F	42	VREFB3FN0	IO				LVDS3F_3p	No	U9	DQ80	DQ40	DQ20	DQ10
3F	41	VREFB3FN0	IO				LVDS3F_4n	Yes	T10	DQSn81	DQSn40/CQn40	DQ20	DQ10
3F	40	VREFB3FN0	IO				LVDS3F_4p	Yes	T9	DQS81	DQS40/CQ40	DQ20	DQ10
3F	39	VREFB3FN0	IO				LVDS3F_5n	No	U12	DQ81	DQ40	DQ20	DQ10
3F	38	VREFB3FN0	IO				LVDS3F_5p	No	U11	DQ81	DQ40	DQ20	DQ10
3F	37	VREFB3FN0	IO				LVDS3F_6n	Yes	V12	DQ81	DQ40	DQSn20/CQn20	DQ10
3F	36	VREFB3FN0	IO				LVDS3F_6p	Yes	V11	DQ81	DQ40	DQS20/CQ20	DQ10
3F	35	VREFB3FN0	IO				LVDS3F_7n	No	K6	DQ82	DQ41	DQ20	DQ10
3F	34	VREFB3FN0	IO				LVDS3F_7p	No	J6	DQ82	DQ41	DQ20	DQ10
3F	33	VREFB3FN0	IO				LVDS3F_8n	Yes	L7	DQSn82	DQ41	DQ20	DQ10
3F	32	VREFB3FN0	IO				LVDS3F_8p	Yes	K7	DQS82	DQ41	DQ20	DQ10
3F	31	VREFB3FN0	IO				LVDS3F_9n	No	N6	DQ82	DQ41	DQ20	DQ10
3F	30	VREFB3FN0	IO				LVDS3F_9p	No	M6	DQ82	DQ41	DQ20	DQ10
3F	29	VREFB3FN0	IO	PLL_3F_CLKOUT1n			LVDS3F_10n	Yes	P8	DQSn83	DQSn41/CQn41	DQ20	DQ10
3F	28	VREFB3FN0	IO	"PLL_3F_CLKOUT1p,PLL_3F_CLKOUT1,PLL_3F_FB1"			LVDS3F_10p	Yes	N8	DQS83	DQS41/CQ41	DQ20	DQ10
3F	27	VREFB3FN0	IO				LVDS3F_11n	No	N7	DQ83	DQ41	DQ20	DQ10
3F	26	VREFB3FN0	IO	RZQ_3F			LVDS3F_11p	No	M7	DQ83	DQ41	DQ20	DQ10
3F	25	VREFB3FN0	IO	CLK_3F_1n			LVDS3F_12n	Yes	L5	DQ83	DQ41	DQ20	DQ10
3F	24	VREFB3FN0	IO	CLK_3F_1p			LVDS3F_12p	Yes	K5	DQ83	DQ41	DQ20	DQ10
3F	23	VREFB3FN0	IO	CLK_3F_0n			LVDS3F_13n	No	F4	DQ84	DQ42	DQ21	DQ10
3F	22	VREFB3FN0	IO	CLK_3F_0p			LVDS3F_13p	No	F3	DQ84	DQ42	DQ21	DQ10
3F	21	VREFB3FN0	IO				LVDS3F_14n	Yes	H6	DQSn84	DQ42	DQ21	DQSn10/CQn10
3F	20	VREFB3FN0	IO				LVDS3F_14p	Yes	G5	DQS84	DQ42	DQ21	DQS10/CQ10
3F	19	VREFB3FN0	IO	PLL_3F_CLKOUT0n			LVDS3F_15n	No	E3	DQ84	DQ42	DQ21	DQ10
3F	18	VREFB3FN0	IO	"PLL_3F_CLKOUT0p,PLL_3F_CLKOUT0,PLL_3F_FB0"			LVDS3F_15p	No	D3	DQ84	DQ42	DQ21	DQ10
3F	17	VREFB3FN0	IO				LVDS3F_16n	Yes	H3	DQSn85	DQSn42/CQn42	DQ21	DQ10
3F	16	VREFB3FN0	IO				LVDS3F_16p	Yes	H2	DQS85	DQS42/CQ42	DQ21	DQ10
3F	15	VREFB3FN0	IO				LVDS3F_17n	No	H4	DQ85	DQ42	DQ21	DQ10
3F	14	VREFB3FN0	IO				LVDS3F_17p	No	G4	DQ85	DQ42	DQ21	DQ10
3F	13	VREFB3FN0	IO				LVDS3F_18n	Yes	B2	DQ85	DQ42	DQSn21/CQn21	DQ10
3F	12	VREFB3FN0	IO				LVDS3F_18p	Yes	A2	DQ85	DQ42	DQS21/CQ21	DQ10
3F	11	VREFB3FN0	IO				LVDS3F_19n	No	J5	DQ86	DQ43	DQ21	DQ10
3F	10	VREFB3FN0	IO				LVDS3F_19p	No	J4	DQ86	DQ43	DQ21	DQ10
3F	9	VREFB3FN0	IO				LVDS3F_20n	Yes	E2	DQSn86	DQ43	DQ21	DQ10
3F	8	VREFB3FN0	IO				LVDS3F_20p	Yes	E1	DQS86	DQ43	DQ21	DQ10
3F	7	VREFB3FN0	IO				LVDS3F_21n	No	C2	DQ86	DQ43	DQ21	DQ10
3F	6	VREFB3FN0	IO				LVDS3F_21p	No	B1	DQ86	DQ43	DQ21	DQ10
3F	5	VREFB3FN0	IO				LVDS3F_22n	Yes	D1	DQSn87	DQSn43/CQn43	DQ21	DQ10
3F	4	VREFB3FN0	IO				LVDS3F_22p	Yes	C1	DQS87	DQS43/CQ43	DQ21	DQ10
3F	3	VREFB3FN0	IO				LVDS3F_23n	No	G2	DQ87	DQ43	DQ21	DQ10
3F	2	VREFB3FN0	IO				LVDS3F_23p	No	F2	DQ87	DQ43	DQ21	DQ10
3F	1	VREFB3FN0	IO				LVDS3F_24n	Yes	H1	DQ87	DQ43	DQ21	DQ10
3F	0	VREFB3FN0	IO				LVDS3F_24p	Yes	G1	DQ87	DQ43	DQ21	DQ10
3E	47	VREFB3EN0	IO				LVDS3E_1n	No	V8	DQ88	DQ44	DQ22	DQ11
3E	46	VREFB3EN0	IO				LVDS3E_1p	No	V7	DQ88	DQ44	DQ22	DQ11
3E	45	VREFB3EN0	IO				LVDS3E_2n	Yes	Y8	DQSn88	DQ44	DQ22	DQ11
3E	44	VREFB3EN0	IO				LVDS3E_2p	Yes	W8	DQS88	DQ44	DQ22	DQ11
3E	43	VREFB3EN0	IO				LVDS3E_3n	No	Y11	DQ88	DQ44	DQ22	DQ11
3E	42	VREFB3EN0	IO				LVDS3E_3p	No	Y10	DQ88	DQ44	DQ22	DQ11
3E	41	VREFB3EN0	IO				LVDS3E_4n	Yes	W9	DQSn89	DQSn44/CQn44	DQ22	DQ11
3E	40	VREFB3EN0	IO				LVDS3E_4p	Yes	V9	DQS89	DQS44/CQ44	DQ22	DQ11
3E	39	VREFB3EN0	IO				LVDS3E_5n	No	W11	DQ89	DQ44	DQ22	DQ11
3E	38	VREFB3EN0	IO				LVDS3E_5p	No	W10	DQ89	DQ44	DQ22	DQ11
3E	37	VREFB3EN0	IO				LVDS3E_6n	Yes	Y13	DQ89	DQ44	DQSn22/CQn22	DQ11
3E	36	VREFB3EN0	IO				LVDS3E_6p	Yes	Y12	DQ89	DQ44	DQS22/CQ22	DQ11
3E	35	VREFB3EN0	IO				LVDS3E_7n	No	T4	DQ90	DQ45	DQ22	DQ11
3E	34	VREFB3EN0	IO				LVDS3E_7p	No	T3	DQ90	DQ45	DQ22	DQ11
3E	33	VREFB3EN0	IO				LVDS3E_8n	Yes	U7	DQSn90	DQ45	DQ22	DQ11
3E	32	VREFB3EN0	IO				LVDS3E_8p	Yes	T7	DQS90	DQ45	DQ22	DQ11
3E	31	VREFB3EN0	IO				LVDS3E_9n	No	U5	DQ90	DQ45	DQ22	DQ11
3E	30	VREFB3EN0	IO				LVDS3E_9p	No	U4	DQ90	DQ45	DQ22	DQ11
3E	29	VREFB3EN0	IO	PLL_3E_CLKOUT1n			LVDS3E_10n	Yes	R6	DQSn91	DQSn45/CQn45	DQ22	DQ11
3E	28	VREFB3EN0	IO	"PLL_3E_CLKOUT1p,PLL_3E_CLKOUT1,PLL_3E_FB1"			LVDS3E_10p	Yes	R5	DQS91	DQS45/CQ45	DQ22	DQ11
3E	27	VREFB3EN0	IO				LVDS3E_11n	No	U6	DQ91	DQ45	DQ22	DQ11
3E	26	VREFB3EN0	IO	RZQ_3E			LVDS3E_11p	No	T5	DQ91	DQ45	DQ22	DQ11
3E	25	VREFB3EN0	IO	CLK_3E_1n			LVDS3E_12n	Yes	W6	DQ91	DQ45	DQ22	DQ11
3E	24	VREFB3EN0	IO	CLK_3E_1p			LVDS3E_12p	Yes	V6	DQ91	DQ45	DQ22	DQ11
3E	23	VREFB3EN0	IO	CLK_3E_0n			LVDS3E_13n	No	M5	DQ92	DQ46	DQ23	DQ11
3E	22	VREFB3EN0	IO	CLK_3E_0p			LVDS3E_13p	No	M4	DQ92	DQ46	DQ23	DQ11
3E	21	VREFB3EN0	IO				LVDS3E_14n	Yes	P6	DQSn92	DQ46	DQ23	DQSn11/CQn11
3E	20	VREFB3EN0	IO				LVDS3E_14p	Yes	P5	DQS92	DQ46	DQ23	DQS11/CQ11
3E	19	VREFB3EN0	IO	PLL_3E_CLKOUT0n			LVDS3E_15n	No	L4	DQ92	DQ46	DQ23	DQ11
3E	18	VREFB3EN0	IO	"PLL_3E_CLKOUT0p,PLL_3E_CLKOUT0,PLL_3E_FB0"			LVDS3E_15p	No	L3	DQ92	DQ46	DQ23	DQ11
3E	17	VREFB3EN0	IO				LVDS3E_16n	Yes	K3	DQSn93	DQSn46/CQn46	DQ23	DQ11
3E	16	VREFB3EN0	IO				LVDS3E_16p	Yes	J3	DQS93	DQS46/CQ46	DQ23	DQ11
3E	15	VREFB3EN0	IO				LVDS3E_17n	No	N4	DQ93	DQ46	DQ23	DQ11
3E	14	VREFB3EN0	IO				LVDS3E_17p	No	N3	DQ93	DQ46	DQ23	DQ11
3E	13	VREFB3EN0	IO				LVDS3E_18n	Yes	R3	DQ93	DQ46	DQSn23/CQn23	DQ11
3E	12	VREFB3EN0	IO				LVDS3E_18p	Yes	R2	DQ93	DQ46	DQS23/CQ23	DQ11
3E	11	VREFB3EN0	IO				LVDS3E_19n	No	P4	DQ94	DQ47	DQ23	DQ11
3E	10	VREFB3EN0	IO				LVDS3E_19p	No	P3	DQ94	DQ47	DQ23	DQ11
3E	9	VREFB3EN0	IO				LVDS3E_20n	Yes	L2	DQSn94	DQ47	DQ23	DQ11
3E	8	VREFB3EN0	IO				LVDS3E_20p	Yes	K2	DQS94	DQ47	DQ23	DQ11
3E	7	VREFB3EN0	IO				LVDS3E_21n	No	N2	DQ94	DQ47	DQ23	DQ11
3E	6	VREFB3EN0	IO				LVDS3E_21p	No	N1	DQ94	DQ47	DQ23	DQ11
3E	5	VREFB3EN0	IO				LVDS3E_22n	Yes	R1	DQSn95	DQSn47/CQn47	DQ23	DQ11
3E	4	VREFB3EN0	IO				LVDS3E_22p	Yes	P1	DQS95	DQS47/CQ47	DQ23	DQ11
3E	3	VREFB3EN0	IO				LVDS3E_23n	No	K1	DQ95	DQ47	DQ23	DQ11
3E	2	VREFB3EN0	IO				LVDS3E_23p	No	J1	DQ95	DQ47	DQ23	DQ11
3E	1	VREFB3EN0	IO				LVDS3E_24n	Yes	M2	DQ95	DQ47	DQ23	DQ11
3E	0	VREFB3EN0	IO				LVDS3E_24p	Yes	M1	DQ95	DQ47	DQ23	DQ11
3D	47	VREFB3DN0	IO				LVDS3D_1n	No	U2	DQ96	DQ48	DQ24	DQ12
3D	46	VREFB3DN0	IO				LVDS3D_1p	No	T2	DQ96	DQ48	DQ24	DQ12
3D	45	VREFB3DN0	IO				LVDS3D_2n	Yes	W4	DQSn96	DQ48	DQ24	DQ12
3D	44	VREFB3DN0	IO				LVDS3D_2p	Yes	V4	DQS96	DQ48	DQ24	DQ12
3D	43	VREFB3DN0	IO				LVDS3D_3n	No	Y1	DQ96	DQ48	DQ24	DQ12
3D	42	VREFB3DN0	IO				LVDS3D_3p	No	W1	DQ96	DQ48	DQ24	DQ12
3D	41	VREFB3DN0	IO				LVDS3D_4n	Yes	V3	DQSn97	DQSn48/CQn48	DQ24	DQ12
3D	40	VREFB3DN0	IO				LVDS3D_4p	Yes	V2	DQS97	DQS48/CQ48	DQ24	DQ12
3D	39	VREFB3DN0	IO				LVDS3D_5n	No	V1	DQ97	DQ48	DQ24	DQ12
3D	38	VREFB3DN0	IO				LVDS3D_5p	No	U1	DQ97	DQ48	DQ24	DQ12
3D	37	VREFB3DN0	IO				LVDS3D_6n	Yes	Y3	DQ97	DQ48	DQSn24/CQn24	DQ12
3D	36	VREFB3DN0	IO				LVDS3D_6p	Yes	W3	DQ97	DQ48	DQS24/CQ24	DQ12
3D	35	VREFB3DN0	IO				LVDS3D_7n	No	AA10	DQ98	DQ49	DQ24	DQ12
3D	34	VREFB3DN0	IO				LVDS3D_7p	No	AB9	DQ98	DQ49	DQ24	DQ12
3D	33	VREFB3DN0	IO				LVDS3D_8n	Yes	Y7	DQSn98	DQ49	DQ24	DQ12
3D	32	VREFB3DN0	IO				LVDS3D_8p	Yes	Y6	DQS98	DQ49	DQ24	DQ12
3D	31	VREFB3DN0	IO				LVDS3D_9n	No	AB11	DQ98	DQ49	DQ24	DQ12
3D	30	VREFB3DN0	IO				LVDS3D_9p	No	AB10	DQ98	DQ49	DQ24	DQ12
3D	29	VREFB3DN0	IO	PLL_3D_CLKOUT1n			LVDS3D_10n	Yes	AA7	DQSn99	DQSn49/CQn49	DQ24	DQ12
3D	28	VREFB3DN0	IO	"PLL_3D_CLKOUT1p,PLL_3D_CLKOUT1,PLL_3D_FB1"			LVDS3D_10p	Yes	AB7	DQS99	DQS49/CQ49	DQ24	DQ12
3D	27	VREFB3DN0	IO				LVDS3D_11n	No	AA9	DQ99	DQ49	DQ24	DQ12
3D	26	VREFB3DN0	IO	RZQ_3D			LVDS3D_11p	No	AA8	DQ99	DQ49	DQ24	DQ12
3D	25	VREFB3DN0	IO	CLK_3D_1n			LVDS3D_12n	Yes	AA12	DQ99	DQ49	DQ24	DQ12
3D	24	VREFB3DN0	IO	CLK_3D_1p			LVDS3D_12p	Yes	AB12	DQ99	DQ49	DQ24	DQ12
3D	23	VREFB3DN0	IO	CLK_3D_0n			LVDS3D_13n	No	Y5	DQ100	DQ50	DQ25	DQ12
3D	22	VREFB3DN0	IO	CLK_3D_0p			LVDS3D_13p	No	W5	DQ100	DQ50	DQ25	DQ12
3D	21	VREFB3DN0	IO				LVDS3D_14n	Yes	AB6	DQSn100	DQ50	DQ25	DQSn12/CQn12
3D	20	VREFB3DN0	IO				LVDS3D_14p	Yes	AB5	DQS100	DQ50	DQ25	DQS12/CQ12
3D	19	VREFB3DN0	IO	PLL_3D_CLKOUT0n			LVDS3D_15n	No	AA2	DQ100	DQ50	DQ25	DQ12
3D	18	VREFB3DN0	IO	"PLL_3D_CLKOUT0p,PLL_3D_CLKOUT0,PLL_3D_FB0"			LVDS3D_15p	No	Y2	DQ100	DQ50	DQ25	DQ12
3D	17	VREFB3DN0	IO				LVDS3D_16n	Yes	AA4	DQSn101	DQSn50/CQn50	DQ25	DQ12
3D	16	VREFB3DN0	IO				LVDS3D_16p	Yes	AA3	DQS101	DQS50/CQ50	DQ25	DQ12
3D	15	VREFB3DN0	IO				LVDS3D_17n	No	AA5	DQ101	DQ50	DQ25	DQ12
3D	14	VREFB3DN0	IO				LVDS3D_17p	No	AB4	DQ101	DQ50	DQ25	DQ12
3D	13	VREFB3DN0	IO				LVDS3D_18n	Yes	AB1	DQ101	DQ50	DQSn25/CQn25	DQ12
3D	12	VREFB3DN0	IO				LVDS3D_18p	Yes	AC1	DQ101	DQ50	DQS25/CQ25	DQ12
3D	11	VREFB3DN0	IO				LVDS3D_19n	No	AC6	DQ102	DQ51	DQ25	DQ12
3D	10	VREFB3DN0	IO				LVDS3D_19p	No	AD5	DQ102	DQ51	DQ25	DQ12
3D	9	VREFB3DN0	IO				LVDS3D_20n	Yes	AD4	DQSn102	DQ51	DQ25	DQ12
3D	8	VREFB3DN0	IO				LVDS3D_20p	Yes	AD3	DQS102	DQ51	DQ25	DQ12
3D	7	VREFB3DN0	IO				LVDS3D_21n	No	AB2	DQ102	DQ51	DQ25	DQ12
3D	6	VREFB3DN0	IO				LVDS3D_21p	No	AC2	DQ102	DQ51	DQ25	DQ12
3D	5	VREFB3DN0	IO				LVDS3D_22n	Yes	AC4	DQSn103	DQSn51/CQn51	DQ25	DQ12
3D	4	VREFB3DN0	IO				LVDS3D_22p	Yes	AC3	DQS103	DQS51/CQ51	DQ25	DQ12
3D	3	VREFB3DN0	IO				LVDS3D_23n	No	AD1	DQ103	DQ51	DQ25	DQ12
3D	2	VREFB3DN0	IO				LVDS3D_23p	No	AE1	DQ103	DQ51	DQ25	DQ12
3D	1	VREFB3DN0	IO				LVDS3D_24n	Yes	AE3	DQ103	DQ51	DQ25	DQ12
3D	0	VREFB3DN0	IO				LVDS3D_24p	Yes	AE2	DQ103	DQ51	DQ25	DQ12
3C	47	VREFB3CN0	IO				LVDS3C_1n	No	AH1	DQ104	DQ52	DQ26	DQ13
3C	46	VREFB3CN0	IO				LVDS3C_1p	No	AJ1	DQ104	DQ52	DQ26	DQ13
3C	45	VREFB3CN0	IO				LVDS3C_2n	Yes	AF3	DQSn104	DQ52	DQ26	DQ13
3C	44	VREFB3CN0	IO				LVDS3C_2p	Yes	AF2	DQS104	DQ52	DQ26	DQ13
3C	43	VREFB3CN0	IO				LVDS3C_3n	No	AG2	DQ104	DQ52	DQ26	DQ13
3C	42	VREFB3CN0	IO				LVDS3C_3p	No	AG1	DQ104	DQ52	DQ26	DQ13
3C	41	VREFB3CN0	IO				LVDS3C_4n	Yes	AH3	DQSn105	DQSn52/CQn52	DQ26	DQ13
3C	40	VREFB3CN0	IO				LVDS3C_4p	Yes	AH2	DQS105	DQS52/CQ52	DQ26	DQ13
3C	39	VREFB3CN0	IO				LVDS3C_5n	No	AG4	DQ105	DQ52	DQ26	DQ13
3C	38	VREFB3CN0	IO				LVDS3C_5p	No	AH4	DQ105	DQ52	DQ26	DQ13
3C	37	VREFB3CN0	IO				LVDS3C_6n	Yes	AE5	DQ105	DQ52	DQSn26/CQn26	DQ13
3C	36	VREFB3CN0	IO				LVDS3C_6p	Yes	AF4	DQ105	DQ52	DQS26/CQ26	DQ13
3C	35	VREFB3CN0	IO				LVDS3C_7n	No	AJ4	DQ106	DQ53	DQ26	DQ13
3C	34	VREFB3CN0	IO				LVDS3C_7p	No	AJ3	DQ106	DQ53	DQ26	DQ13
3C	33	VREFB3CN0	IO				LVDS3C_8n	Yes	AM2	DQSn106	DQ53	DQ26	DQ13
3C	32	VREFB3CN0	IO				LVDS3C_8p	Yes	AM1	DQS106	DQ53	DQ26	DQ13
3C	31	VREFB3CN0	IO				LVDS3C_9n	No	AK2	DQ106	DQ53	DQ26	DQ13
3C	30	VREFB3CN0	IO				LVDS3C_9p	No	AK1	DQ106	DQ53	DQ26	DQ13
3C	29	VREFB3CN0	IO	PLL_3C_CLKOUT1n			LVDS3C_10n	Yes	AN2	DQSn107	DQSn53/CQn53	DQ26	DQ13
3C	28	VREFB3CN0	IO	"PLL_3C_CLKOUT1p,PLL_3C_CLKOUT1,PLL_3C_FB1"			LVDS3C_10p	Yes	AN1	DQS107	DQS53/CQ53	DQ26	DQ13
3C	27	VREFB3CN0	IO				LVDS3C_11n	No	AL4	DQ107	DQ53	DQ26	DQ13
3C	26	VREFB3CN0	IO	RZQ_3C			LVDS3C_11p	No	AL3	DQ107	DQ53	DQ26	DQ13
3C	25	VREFB3CN0	IO	CLK_3C_1n			LVDS3C_12n	Yes	AK3	DQ107	DQ53	DQ26	DQ13
3C	24	VREFB3CN0	IO	CLK_3C_1p			LVDS3C_12p	Yes	AL2	DQ107	DQ53	DQ26	DQ13
3C	23	VREFB3CN0	IO	CLK_3C_0n			LVDS3C_13n	No	AE6	DQ108	DQ54	DQ27	DQ13
3C	22	VREFB3CN0	IO	CLK_3C_0p			LVDS3C_13p	No	AF5	DQ108	DQ54	DQ27	DQ13
3C	21	VREFB3CN0	IO				LVDS3C_14n	Yes	AH6	DQSn108	DQ54	DQ27	DQSn13/CQn13
3C	20	VREFB3CN0	IO				LVDS3C_14p	Yes	AJ5	DQS108	DQ54	DQ27	DQS13/CQ13
3C	19	VREFB3CN0	IO	PLL_3C_CLKOUT0n			LVDS3C_15n	No	AG6	DQ108	DQ54	DQ27	DQ13
3C	18	VREFB3CN0	IO	"PLL_3C_CLKOUT0p,PLL_3C_CLKOUT0,PLL_3C_FB0"			LVDS3C_15p	No	AG5	DQ108	DQ54	DQ27	DQ13
3C	17	VREFB3CN0	IO				LVDS3C_16n	Yes	AE7	DQSn109	DQSn54/CQn54	DQ27	DQ13
3C	16	VREFB3CN0	IO				LVDS3C_16p	Yes	AF7	DQS109	DQS54/CQ54	DQ27	DQ13
3C	15	VREFB3CN0	IO				LVDS3C_17n	No	AJ6	DQ109	DQ54	DQ27	DQ13
3C	14	VREFB3CN0	IO				LVDS3C_17p	No	AK5	DQ109	DQ54	DQ27	DQ13
3C	13	VREFB3CN0	IO				LVDS3C_18n	Yes	AC7	DQ109	DQ54	DQSn27/CQn27	DQ13
3C	12	VREFB3CN0	IO				LVDS3C_18p	Yes	AD6	DQ109	DQ54	DQS27/CQ27	DQ13
3C	11	VREFB3CN0	IO				LVDS3C_19n	No	AF8	DQ110	DQ55	DQ27	DQ13
3C	10	VREFB3CN0	IO				LVDS3C_19p	No	AG7	DQ110	DQ55	DQ27	DQ13
3C	9	VREFB3CN0	IO				LVDS3C_20n	Yes	AD10	DQSn110	DQ55	DQ27	DQ13
3C	8	VREFB3CN0	IO				LVDS3C_20p	Yes	AD9	DQS110	DQ55	DQ27	DQ13
3C	7	VREFB3CN0	IO				LVDS3C_21n	No	AC9	DQ110	DQ55	DQ27	DQ13
3C	6	VREFB3CN0	IO				LVDS3C_21p	No	AC8	DQ110	DQ55	DQ27	DQ13
3C	5	VREFB3CN0	IO				LVDS3C_22n	Yes	AD8	DQSn111	DQSn55/CQn55	DQ27	DQ13
3C	4	VREFB3CN0	IO				LVDS3C_22p	Yes	AE8	DQS111	DQS55/CQ55	DQ27	DQ13
3C	3	VREFB3CN0	IO				LVDS3C_23n	No	AC11	DQ111	DQ55	DQ27	DQ13
3C	2	VREFB3CN0	IO				LVDS3C_23p	No	AD11	DQ111	DQ55	DQ27	DQ13
3C	1	VREFB3CN0	IO				LVDS3C_24n	Yes	AD13	DQ111	DQ55	DQ27	DQ13
3C	0	VREFB3CN0	IO				LVDS3C_24p	Yes	AC12	DQ111	DQ55	DQ27	DQ13
3B	47	VREFB3BN0	IO				LVDS3B_1n	No	AR3	DQ112	DQ56	DQ28	DQ14
3B	46	VREFB3BN0	IO				LVDS3B_1p	No	AR2	DQ112	DQ56	DQ28	DQ14
3B	45	VREFB3BN0	IO				LVDS3B_2n	Yes	AP1	DQSn112	DQ56	DQ28	DQ14
3B	44	VREFB3BN0	IO				LVDS3B_2p	Yes	AR1	DQS112	DQ56	DQ28	DQ14
3B	43	VREFB3BN0	IO				LVDS3B_3n	No	AN4	DQ112	DQ56	DQ28	DQ14
3B	42	VREFB3BN0	IO				LVDS3B_3p	No	AN3	DQ112	DQ56	DQ28	DQ14
3B	41	VREFB3BN0	IO				LVDS3B_4n	Yes	AT3	DQSn113	DQSn56/CQn56	DQ28	DQ14
3B	40	VREFB3BN0	IO				LVDS3B_4p	Yes	AT2	DQS113	DQS56/CQ56	DQ28	DQ14
3B	39	VREFB3BN0	IO				LVDS3B_5n	No	AU2	DQ113	DQ56	DQ28	DQ14
3B	38	VREFB3BN0	IO				LVDS3B_5p	No	AU1	DQ113	DQ56	DQ28	DQ14
