Bank Number	Index within I/O Bank (2)	VREF	Pin Name/Function	Optional Function(s)	Configuration Function	Non-Dedicated Tx/Rx Channel	Dedicated Tx/Rx Channel	Soft CDR Support	F35	DQS for X4	DQS for X8/X9	DQS for X16/X18	DQS for X32/X36
3A	18	VREFB3AN0	IO	"PLL_3A_CLKOUT0p,PLL_3A_CLKOUT0,PLL_3A_FB0"			LVDS3A_15p	No	AH4	DQ92	DQ46	DQ23	DQ11
3A	17	VREFB3AN0	IO				LVDS3A_16n	Yes	AK3	DQSn93	DQSn46/CQn46	DQ23	DQ11
3A	16	VREFB3AN0	IO				LVDS3A_16p	Yes	AL3	DQS93	DQS46/CQ46	DQ23	DQ11
3A	15	VREFB3AN0	IO				LVDS3A_17n	No	AL1	DQ93	DQ46	DQ23	DQ11
3A	14	VREFB3AN0	IO				LVDS3A_17p	No	AM1	DQ93	DQ46	DQ23	DQ11
3A	13	VREFB3AN0	IO				LVDS3A_18n	Yes	AJ4	DQ93	DQ46	DQSn23/CQn23	DQ11
3A	12	VREFB3AN0	IO				LVDS3A_18p	Yes	AK4	DQ93	DQ46	DQS23/CQ23	DQ11
3A	11	VREFB3AN0	IO				LVDS3A_19n	No	AG7	DQ94	DQ47	DQ23	DQ11
3A	10	VREFB3AN0	IO				LVDS3A_19p	No	AH7	DQ94	DQ47	DQ23	DQ11
3A	9	VREFB3AN0	IO				LVDS3A_20n	Yes	AH5	DQSn94	DQ47	DQ23	DQ11
3A	8	VREFB3AN0	IO				LVDS3A_20p	Yes	AJ5	DQS94	DQ47	DQ23	DQ11
3A	7	VREFB3AN0	IO				LVDS3A_21n	No	AE9	DQ94	DQ47	DQ23	DQ11
3A	6	VREFB3AN0	IO				LVDS3A_21p	No	AF9	DQ94	DQ47	DQ23	DQ11
3A	5	VREFB3AN0	IO				LVDS3A_22n	Yes	AF8	DQSn95	DQSn47/CQn47	DQ23	DQ11
3A	4	VREFB3AN0	IO				LVDS3A_22p	Yes	AG8	DQS95	DQS47/CQ47	DQ23	DQ11
3A	3	VREFB3AN0	IO				LVDS3A_23n	No	AJ6	DQ95	DQ47	DQ23	DQ11
3A	2	VREFB3AN0	IO				LVDS3A_23p	No	AK6	DQ95	DQ47	DQ23	DQ11
3A	1	VREFB3AN0	IO				LVDS3A_24n	Yes	AJ7	DQ95	DQ47	DQ23	DQ11
3A	0	VREFB3AN0	IO				LVDS3A_24p	Yes	AK7	DQ95	DQ47	DQ23	DQ11
			GND						AN9				
CSS			TDO		TDO				AM6				
CSS			TMS		TMS				AK8				
CSS			TRST		TRST				AP5				
CSS			TCK		TCK				AL6				
CSS			TDI		TDI				AM5				
CSS			MSEL0		MSEL0				AN8				
CSS			MSEL1		MSEL1				AL5				
CSS			MSEL2		MSEL2				AL4				
CSS			nIO_PULLUP		nIO_PULLUP				AH9				
CSS			nSTATUS		nSTATUS				AL8				
CSS			CONF_DONE		CONF_DONE				AN7				
			GND						AM8				
CSS			nCONFIG		nCONFIG				AP9				
CSS			nCE		nCE				AH8				
CSS			nCSO0		nCSO0				AP7				
CSS			nCSO1		nCSO1				AM7				
CSS			nCSO2		nCSO2				AP6				
CSS			"AS_DATA0,ASDO"		"AS_DATA0,ASDO"				AN3				
CSS			AS_DATA1		AS_DATA1				AP2				
CSS			AS_DATA2		AS_DATA2				AN2				
CSS			AS_DATA3		AS_DATA3				AP4				
CSS			DCLK		DCLK				AN5				
			ADCGND						D1				
			GND						J12				
			GND						H13				
			GND						J14				
			GND						K12				
			GND						K13				
			GND						K14				
			GND						J15				
			GND						A12				
			GND						A17				
			GND						A2				
			GND						A22				
			GND						A24				
			GND						A27				
			GND						A28				
			GND						A31				
			GND						A32				
			GND						A33				
			GND						A7				
			GND						AA12				
			GND						AA17				
			GND						AA2				
			GND						AA22				
			GND						AA23				
			GND						AA24				
			GND						AA27				
			GND						AA28				
			GND						AA31				
			GND						AA32				
			GND						AA7				
			GND						AB14				
			GND						AB19				
			GND						AB23				
			GND						AB29				
			GND						AB30				
			GND						AB33				
			GND						AB34				
			GND						AB9				
			GND						AC1				
			GND						AC11				
			GND						AC16				
			GND						AC21				
			GND						AC23				
			GND						AC24				
			GND						AC27				
			GND						AC28				
			GND						AC31				
			GND						AC32				
			GND						AC6				
			GND						AD13				
			GND						AD18				
			GND						AD23				
			GND						AD24				
			GND						AD29				
			GND						AD3				
			GND						AD30				
			GND						AD33				
			GND						AD34				
			GND						AE10				
			GND						AE23				
			GND						AE24				
			GND						AE27				
			GND						AE28				
			GND						AE31				
			GND						AE32				
			GND						AF17				
			GND						AF2				
			GND						AF23				
			GND						AF29				
			GND						AF30				
			GND						AF33				
			GND						AF34				
			GND						AG23				
			GND						AG24				
			GND						AG27				
			GND						AG28				
			GND						AG31				
			GND						AG32				
			GND						AG4				
			GND						AH1				
			GND						AH21				
			GND						AH24				
			GND						AH29				
			GND						AH30				
			GND						AH33				
			GND						AH34				
			GND						AH6				
			GND						AJ13				
			GND						AJ18				
			GND						AJ23				
			GND						AJ24				
			GND						AJ27				
			GND						AJ28				
			GND						AJ3				
			GND						AJ31				
			GND						AJ32				
			GND						AJ8				
			GND						AK10				
			GND						AK15				
			GND						AK20				
			GND						AK24				
			GND						AK25				
			GND						AK26				
			GND						AK29				
			GND						AK30				
			GND						AK33				
			GND						AK34				
			GND						AK5				
			GND						AL12				
			GND						AL17				
			GND						AL2				
			GND						AL22				
			GND						AL24				
			GND						AL27				
			GND						AL28				
			GND						AL31				
			GND						AL32				
			GND						AL7				
			GND						AM14				
			GND						AM19				
			GND						AM2				
			GND						AM22				
			GND						AM23				
			GND						AM24				
			GND						AM25				
			GND						AM26				
			GND						AM29				
			GND						AM3				
			GND						AM30				
			GND						AM33				
			GND						AM34				
			GND						AM4				
			GND						AM9				
			GND						AN1				
			GND						AN11				
			GND						AN16				
			GND						AN21				
			GND						AN24				
			GND						AN27				
			GND						AN28				
			GND						AN31				
			GND						AN32				
			GND						AN4				
			GND						AN6				
			GND						AP13				
			GND						AP18				
			GND						AP22				
			GND						AP24				
			GND						AP25				
			GND						AP26				
			GND						AP29				
			GND						AP3				
			GND						AP30				
			GND						AP33				
			GND						AP8				
			GND						B1				
			GND						B14				
			GND						B19				
			GND						B2				
			GND						B22				
			GND						B23				
			GND						B24				
			GND						B25				
			GND						B26				
			GND						B29				
			GND						B3				
			GND						B30				
			GND						B33				
			GND						B34				
			GND						B4				
			GND						B9				
			GND						C1				
			GND						C11				
			GND						C16				
			GND						C24				
			GND						C27				
			GND						C28				
			GND						C31				
			GND						C32				
			GND						C6				
			GND						D23				
			GND						D24				
			GND						D25				
			GND						D26				
			GND						D29				
			GND						D3				
			GND						D30				
			GND						D33				
			GND						D34				
			GND						D8				
			GND						E10				
			GND						E24				
			GND						E27				
			GND						E28				
			GND						E31				
			GND						E32				
			GND						E5				
			GND						F17				
			GND						F2				
			GND						F22				
			GND						F23				
			GND						F29				
			GND						F30				
			GND						F33				
			GND						F34				
			GND						F7				
			GND						G14				
			GND						G19				
			GND						G24				
			GND						G27				
			GND						G28				
			GND						G31				
			GND						G32				
			GND						G9				
			GND						H1				
			GND						H11				
			GND						H16				
			GND						H21				
			GND						H23				
			GND						H24				
			GND						H29				
			GND						H30				
			GND						H33				
			GND						H34				
			GND						H6				
			GND						J13				
			GND						J18				
			GND						J23				
			GND						J24				
			GND						J27				
			GND						J28				
			GND						J31				
			GND						J32				
			GND						J8				
			GND						K10				
			GND						K15				
			GND						K20				
			GND						K23				
			GND						K29				
			GND						K30				
			GND						K33				
			GND						K34				
			GND						L12				
			GND						L17				
			GND						L2				
			GND						L22				
			GND						L23				
			GND						L24				
			GND						L27				
			GND						L28				
			GND						L31				
			GND						L32				
			GND						L7				
			GND						M14				
			GND						M19				
			GND						M23				
			GND						M24				
			GND						M29				
			GND						M30				
			GND						M33				
			GND						M34				
			GND						M9				
			GND						N1				
			GND						N11				
			GND						N16				
			GND						N21				
			GND						N23				
			GND						N24				
			GND						N27				
			GND						N28				
			GND						N31				
			GND						N32				
			GND						N6				
			GND						P13				
			GND						P18				
			GND						P23				
			GND						P29				
			GND						P30				
			GND						P33				
			GND						P34				
			GND						P8				
			GND						R10				
			GND						R15				
			GND						R20				
			GND						R23				
			GND						R24				
			GND						R27				
			GND						R28				
			GND						R31				
			GND						R32				
			GND						T12				
			GND						T17				
			GND						T2				
			GND						T22				
			GND						T23				
			GND						T24				
			GND						T29				
			GND						T30				
			GND						T33				
			GND						T34				
			GND						T7				
			GND						U14				
			GND						U19				
			GND						U23				
			GND						U24				
			GND						U27				
			GND						U28				
			GND						U31				
			GND						U32				
			GND						U4				
			GND						U9				
			GND						V1				
			GND						V11				
			GND						V16				
			GND						V21				
			GND						V23				
			GND						V29				
			GND						V30				
			GND						V33				
			GND						V34				
			GND						V6				
			GND						W13				
			GND						W18				
			GND						W23				
			GND						W24				
			GND						W27				
			GND						W28				
			GND						W31				
			GND						W32				
			GND						W8				
			GND						Y10				
			GND						Y15				
			GND						Y20				
			GND						Y23				
			GND						Y24				
			GND						Y29				
			GND						Y30				
			GND						Y33				
			GND						Y34				
			GNDSENSE						Y17				
			VCC						AA15				
			VCC						AA16				
			VCC						AA18				
			VCC						AA21				
			VCC						AB15				
			VCC						AB16				
			VCC						AB17				
			VCC						AB21				
			VCC						AB22				
			VCC						AC14				
			VCC						AC15				
			VCC						AC17				
			VCC						AC18				
			VCC						AC19				
			VCC						AC20				
			VCC						AC22				
			VCC						AD15				
			VCC						AD16				
			VCC						AD17				
			VCC						AD19				
			VCC						AD20				
			VCC						L11				
			VCC						L13				
			VCC						L14				
			VCC						L15				
			VCC						L16				
			VCC						L18				
			VCC						L19				
			VCC						L20				
			VCC						L21				
			VCC						M11				
			VCC						M12				
			VCC						M13				
			VCC						M15				
			VCC						M16				
			VCC						M17				
			VCC						M18				
			VCC						M20				
			VCC						M21				
			VCC						M22				
			VCC						N14				
			VCC						N15				
			VCC						N17				
			VCC						N20				
			VCC						N22				
			VCC						P11				
			VCC						P15				
			VCC						P16				
			VCC						P17				
			VCC						P21				
			VCC						P22				
			VCC						R11				
			VCC						R12				
			VCC						R13				
			VCC						R14				
			VCC						R16				
			VCC						R17				
			VCC						R18				
			VCC						R19				
			VCC						R21				
			VCC						R22				
			VCC						T11				
			VCC						T13				
			VCC						T14				
			VCC						T15				
			VCC						T16				
			VCC						T18				
			VCC						T19				
			VCC						T20				
			VCC						T21				
			VCC						U11				
			VCC						U12				
			VCC						U16				
			VCC						U17				
			VCC						U20				
			VCC						U22				
			VCC						V12				
			VCC						V15				
			VCC						V17				
			VCC						V18				
			VCC						V19				
			VCC						V20				
			VCC						V22				
			VCC						W11				
			VCC						W12				
			VCC						W14				
			VCC						W15				
			VCC						W16				
			VCC						W17				
			VCC						W19				
			VCC						W20				
			VCC						W21				
			VCC						W22				
			VCC						Y11				
			VCC						Y12				
			VCC						Y13				
			VCC						Y14				
			VCC						Y18				
			VCC						Y19				
			VCC						Y21				
			VCC						Y22				
			VCCPT						AA13				
			VCCPT						AA14				
			VCCPT						AA19				
			VCCPT						AA20				
			VCCPT						P12				
			VCCPT						P14				
			VCCPT						P19				
			VCCPT						P20				
			DNU						AN22				
			DNU						AP23				
			DNU						AD11				
			DNU						AC10				
			DNU						AD12				
			VCCPGM						AC12				
			VCCPGM						AC13				
			TEMPDIODEn						D2				
			TEMPDIODEp						C2				
			VCCBAT						AB11				
			VCCA_PLL						V13				
			VCCA_PLL						V14				
			VCCIO2A						AF12				
			VCCIO2A						AG9				
			VCCIO2A						AH11				
			VCCIO2I						AE15				
			VCCIO2I						AG14				
			VCCIO2I						AH16				
			VCCIO2J						AE20				
			VCCIO2J						AF22				
			VCCIO2J						AG19				
			VCCIO2K						C21				
			VCCIO2K						D18				
			VCCIO2K						E20				
			VCCIO2L						D13				
			VCCIO2L						E15				
			VCCIO2L						F12				
			VCCIO3A						AD8				
			VCCIO3A						AE5				
			VCCIO3A						AF7				
			VCCIO3B						AB4				
			VCCIO3B						W3				
			VCCIO3B						Y5				
			VCCIO3C						M4				
			VCCIO3C						P3				
			VCCIO3C						R5				
			VCCIO3D						G4				
			VCCIO3D						J3				
			VCCIO3D						K5				
2A		VREFB2AN0	VREFB2AN0						AD14				
2I		VREFB2IN0	VREFB2IN0						AE16				
2J		VREFB2JN0	VREFB2JN0						AE19				
2K		VREFB2KN0	VREFB2KN0						K19				
2L		VREFB2LN0	VREFB2LN0						G15				
3A		VREFB3AN0	VREFB3AN0						AD9				
3B		VREFB3BN0	VREFB3BN0						AA11				
3C		VREFB3CN0	VREFB3CN0						U10				
3D		VREFB3DN0	VREFB3DN0						M10				
			VREFN_ADC						D5				
			VREFP_ADC						D4				
			NC						H10				
			NC						H12				
			NC						F11				
			NC						J11				
			NC						F9				
			NC						G11				
			NC						E8				
			NC						J10				
			NC						G10				
			NC						H15				
			NC						G13				
			NC						K16				
			NC						K11				
			NC						F10				
			NC						J16				
			NC						G12				
			NC						H14				
			VCCH_GXBL						AB24				
			VCCH_GXBL						AF24				
			VCCH_GXBL						F24				
			VCCH_GXBL						K24				
			VCCH_GXBL						P24				
			VCCH_GXBL						V24				
			VCCR_GXBL1C						AH25				
			VCCR_GXBL1C						AH26				
			VCCR_GXBL1D						AD25				
			VCCR_GXBL1D						AD26				
			VCCR_GXBL1E						Y25				
			VCCR_GXBL1E						Y26				
			VCCR_GXBL1F						T25				
			VCCR_GXBL1F						T26				
			VCCR_GXBL1G						M25				
			VCCR_GXBL1G						M26				
			VCCR_GXBL1H						H25				
			VCCR_GXBL1H						H26				
			VCCT_GXBL1C						AF25				
			VCCT_GXBL1C						AF26				
			VCCT_GXBL1D						AB25				
			VCCT_GXBL1D						AB26				
			VCCT_GXBL1E						V25				
			VCCT_GXBL1E						V26				
			VCCT_GXBL1F						P25				
			VCCT_GXBL1F						P26				
			VCCT_GXBL1G						K25				
			VCCT_GXBL1G						K26				
			VCCT_GXBL1H						F25				
			VCCT_GXBL1H						F26				
			RREF_BL						AN23				
			RREF_TL						A23				
			VCCERAM						U13				
			VCCERAM						U15				
			VCCERAM						U18				
			VCCERAM						U21				
			VCCLSENSE						Y16				
			VCCP						AB12				
			VCCP						AB13				
			VCCP						AB18				
			VCCP						AB20				
			VCCP						N12				
			VCCP						N13				
			VCCP						N18				
			VCCP						N19				
			VSIGN_0						C4				
			VSIGN_1						B5				
			VSIGP_0						C3				
			VSIGP_1						C5				
Notes:													
"(1) For more information about pin definition and pin connection guidelines, refer to the"													
"Arria 10 GT, GX, and SX Device Family Pin Connection Guidelines."													
"(2) For more information about the external memory interface schemes of the pins with indices, refer to the"													
Arria10EMIF.xls													
																								
