"Pin Information for HardCopy® IV HC4GX25FF1152 Version 1.0"										
										
										
Bank Number	VREF Group	"Pin Name /Function"	"Optional Function(s)"	Configuration Function for Stratix IV Only (1)	"Dedicated Tx_Rx Channel (2)"	"Emulated LVDS  Output Channel (2)"	F1152	"DQ Group for  DQS X4 Mode (2)"	"DQ Group for  DQS X8/X9 Mode (2)"	"DQ Group for  DQS X16/X18 Mode (2)"
8C	VREFB8CN0	IO				DIFFOUT_T56p	E18	DQ14T		
8C	VREFB8CN0	IO				DIFFOUT_T56n	F20	DQ14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T29p	DIFFOUT_T57p	G19	DQS14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T29n	DIFFOUT_T57n	F19	DQSn14T		
8C	VREFB8CN0	IO				DIFFOUT_T58p	E20	DQ14T		
8C	VREFB8CN0	IO				DIFFOUT_T58n	E21	DQ14T		
8C	VREFB8CN0	IO			DIFFIO_RX_T30p	DIFFOUT_T59p	B21	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T30n	DIFFOUT_T59n	A21	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60p	D19	DQ15T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T60n	C19	DQ15T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31p	DIFFOUT_T61p	D21	DQS15T	DQS16T/CQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T31n	DIFFOUT_T61n	C21	DQSn15T	DQSn16T/DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62p	D20	DQ16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T62n	C20	DQ16T	DQ16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T32p	DIFFOUT_T63p	D22	DQS16T	DQ16T/CQn16T	
8C	VREFB8CN0	IO			DIFFIO_RX_T32n	DIFFOUT_T63n	C22	DQSn16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T64p	A23	DQ16T	DQ16T	
8C	VREFB8CN0	IO				DIFFOUT_T64n	A22	DQ16T	DQ16T	
8B	VREFB8BN0	IO			DIFFIO_RX_T33p	DIFFOUT_T65p	M20	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T33n	DIFFOUT_T65n	L20	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T66p	M21	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T66n	L21	DQ17T	DQ19T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T34p	DIFFOUT_T67p	J22	DQS17T	DQS19T/CQ19T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T34n	DIFFOUT_T67n	J21	DQSn17T	DQSn19T/DQ19T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T68p	K22	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T68n	K20	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T35p	DIFFOUT_T69p	G22	DQS18T	DQ19T/CQn19T	DQS20T/CQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T35n	DIFFOUT_T69n	G21	DQSn18T	DQ19T	DQSn20T/DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T70p	H23	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T70n	H24	DQ18T	DQ19T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T36p	DIFFOUT_T71p	F24	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T36n	DIFFOUT_T71n	E24	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T72p	F22	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T72n	F23	DQ19T	DQ20T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T37p	DIFFOUT_T73p	E23	DQS19T	DQS20T/CQ20T	DQ20T/CQn20T
8B	VREFB8BN0	IO			DIFFIO_RX_T37n	DIFFOUT_T73n	D23	DQSn19T	DQSn20T/DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T74p	C23	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T74n	D24	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T38p	DIFFOUT_T75p	B24	DQS20T	DQ20T/CQn20T	DQ20T
8B	VREFB8BN0	IO			DIFFIO_RX_T38n	DIFFOUT_T75n	B23	DQSn20T	DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T76p	A24	DQ20T	DQ20T	DQ20T
8B	VREFB8BN0	IO				DIFFOUT_T76n	A25	DQ20T	DQ20T	DQ20T
8A	VREFB8AN0	IO			DIFFIO_RX_T39p	DIFFOUT_T77p	P23			
8A	VREFB8AN0	IO			DIFFIO_RX_T39n	DIFFOUT_T77n	N23			
8A	VREFB8AN0	IO				DIFFOUT_T78p	M22			
8A	VREFB8AN0	IO				DIFFOUT_T78n	L23			
8A	VREFB8AN0	IO			DIFFIO_RX_T40p	DIFFOUT_T79p	M24	DQ21T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T40n	DIFFOUT_T79n	L24	DQ21T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T80p	M23	DQ21T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T80n	K23	DQ21T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T41p	DIFFOUT_T81p	K25	DQS21T	DQS24T/CQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T41n	DIFFOUT_T81n	J25	DQSn21T	DQSn24T/DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T82p	H27	DQ22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T82n	J24	DQ22T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T42p	DIFFOUT_T83p	G25	DQS22T	DQ24T/CQn24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T42n	DIFFOUT_T83n	G24	DQSn22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T84p	H26	DQ22T	DQ24T	
8A	VREFB8AN0	IO				DIFFOUT_T84n	J23	DQ22T	DQ24T	
8A	VREFB8AN0	IO			DIFFIO_RX_T43p	DIFFOUT_T85p	D27	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T43n	DIFFOUT_T85n	D26	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T86p	E26	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T86n	F26	DQ23T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T44p	DIFFOUT_T87p	D25	DQS23T	DQS25T/CQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T44n	DIFFOUT_T87n	C25	DQSn23T	DQSn25T/DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T88p	F27	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T88n	E27	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T45p	DIFFOUT_T89p	C26	DQS24T	DQ25T/CQn25T	DQS26T/CQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T45n	DIFFOUT_T89n	B26	DQSn24T	DQ25T	DQSn26T/DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T90p	C28	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T90n	D28	DQ24T	DQ25T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T46p	DIFFOUT_T91p	B27	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T46n	DIFFOUT_T91n	A27	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T92p	A26	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T92n	A28	DQ25T	DQ26T	DQ26T
8A	VREFB8AN0	IO			DIFFIO_RX_T47p	DIFFOUT_T93p	B29	DQS25T	DQS26T/CQ26T	DQ26T/CQn26T
8A	VREFB8AN0	IO			DIFFIO_RX_T47n	DIFFOUT_T93n	A29	DQSn25T	DQSn26T/DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T94p	B30	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T94n	B32	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO	RUP8A		DIFFIO_RX_T48p	DIFFOUT_T95p	A31	DQS26T	DQ26T/CQn26T	DQ26T
8A	VREFB8AN0	IO	RDN8A		DIFFIO_RX_T48n	DIFFOUT_T95n	A30	DQSn26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T96p	A32	DQ26T	DQ26T	DQ26T
8A	VREFB8AN0	IO				DIFFOUT_T96n	C31	DQ26T	DQ26T	DQ26T
QL1		GXB_TX_L7p					E31			
QL1		GXB_TX_L7n					E32			
QL1		GXB_RX_L7p					F33			
QL1		GXB_RX_L7n					F34			
QL1		GXB_TX_L6p					G31			
QL1		GXB_TX_L6n					G32			
QL1		GXB_RX_L6p					H33			
QL1		GXB_RX_L6n					H34			
QL1		GXB_CMUTX_L3p					J31			
QL1		GXB_CMUTX_L3n					J32			
QL1		"REFCLK_L3p, GXB_CMURX_L3p"					K33			
QL1		"REFCLK_L3n, GXB_CMURX_L3n"					K34			
QL1		GXB_CMUTX_L2p					L31			
QL1		GXB_CMUTX_L2n					L32			
QL1		"REFCLK_L2p, GXB_CMURX_L2p"					M33			
QL1		"REFCLK_L2n, GXB_CMURX_L2n"					M34			
QL1		GXB_TX_L5p					N31			
QL1		GXB_TX_L5n					N32			
QL1		GXB_RX_L5p					P33			
QL1		GXB_RX_L5n					P34			
QL1		GXB_TX_L4p					R31			
QL1		GXB_TX_L4n					R32			
QL1		GXB_RX_L4p					T33			
QL1		GXB_RX_L4n					T34			
QL0		GXB_TX_L3p					U31			
QL0		GXB_TX_L3n					U32			
QL0		GXB_RX_L3p					V33			
QL0		GXB_RX_L3n					V34			
QL0		GXB_TX_L2p					W31			
QL0		GXB_TX_L2n					W32			
QL0		GXB_RX_L2p					Y33			
QL0		GXB_RX_L2n					Y34			
QL0		GXB_CMUTX_L1p					AA31			
QL0		GXB_CMUTX_L1n					AA32			
QL0		"REFCLK_L1p, GXB_CMURX_L1p"					AB33			
QL0		"REFCLK_L1n, GXB_CMURX_L1n"					AB34			
QL0		GXB_CMUTX_L0p					AC31			
QL0		GXB_CMUTX_L0n					AC32			
QL0		"REFCLK_L0p, GXB_CMURX_L0p"					AD33			
QL0		"REFCLK_L0n, GXB_CMURX_L0n"					AD34			
QL0		GXB_TX_L1p					AE31			
QL0		GXB_TX_L1n					AE32			
QL0		GXB_RX_L1p					AF33			
QL0		GXB_RX_L1n					AF34			
QL0		GXB_TX_L0p					AG31			
QL0		GXB_TX_L0n					AG32			
QL0		GXB_RX_L0p					AH33			
QL0		GXB_RX_L0n					AH34			
QR0		GXB_RX_R0n					AH1			
QR0		GXB_RX_R0p					AH2			
QR0		GXB_TX_R0n					AG3			
QR0		GXB_TX_R0p					AG4			
QR0		GXB_RX_R1n					AF1			
QR0		GXB_RX_R1p					AF2			
QR0		GXB_TX_R1n					AE3			
QR0		GXB_TX_R1p					AE4			
QR0		"REFCLK_R0n, GXB_CMURX_R0n"					AD1			
QR0		"REFCLK_R0p, GXB_CMURX_R0p"					AD2			
QR0		GXB_CMUTX_R0n					AC3			
QR0		GXB_CMUTX_R0p					AC4			
QR0		"REFCLK_R1n, GXB_CMURX_R1n"					AB1			
QR0		"REFCLK_R1p, GXB_CMURX_R1p"					AB2			
QR0		GXB_CMUTX_R1n					AA3			
QR0		GXB_CMUTX_R1p					AA4			
QR0		GXB_RX_R2n					Y1			
QR0		GXB_RX_R2p					Y2			
QR0		GXB_TX_R2n					W3			
QR0		GXB_TX_R2p					W4			
QR0		GXB_RX_R3n					V1			
QR0		GXB_RX_R3p					V2			
QR0		GXB_TX_R3n					U3			
QR0		GXB_TX_R3p					U4			
QR1		GXB_RX_R4n					T1			
QR1		GXB_RX_R4p					T2			
QR1		GXB_TX_R4n					R3			
QR1		GXB_TX_R4p					R4			
QR1		GXB_RX_R5n					P1			
QR1		GXB_RX_R5p					P2			
QR1		GXB_TX_R5n					N3			
QR1		GXB_TX_R5p					N4			
QR1		"REFCLK_R2n, GXB_CMURX_R2n"					M1			
QR1		"REFCLK_R2p, GXB_CMURX_R2p"					M2			
QR1		GXB_CMUTX_R2n					L3			
QR1		GXB_CMUTX_R2p					L4			
QR1		"REFCLK_R3n, GXB_CMURX_R3n"					K1			
QR1		"REFCLK_R3p, GXB_CMURX_R3p"					K2			
QR1		GXB_CMUTX_R3n					J3			
QR1		GXB_CMUTX_R3p					J4			
QR1		GXB_RX_R6n					H1			
QR1		GXB_RX_R6p					H2			
QR1		GXB_TX_R6n					G3			
QR1		GXB_TX_R6p					G4			
QR1		GXB_RX_R7n					F1			
QR1		GXB_RX_R7p					F2			
QR1		GXB_TX_R7n					E3			
QR1		GXB_TX_R7p					E4			
		GND					P21			
		GND					AN2			
		GND					U18			
		GND					U22			
		GND					AN4			
		GND					AN7			
		GND					AN10			
		GND					AN13			
		GND					AN16			
		GND					AN19			
		GND					AN22			
		GND					AN25			
		GND					AN28			
		GND					AN31			
		GND					AK4			
		GND					AK7			
		GND					AK10			
		GND					AK13			
		GND					AK16			
		GND					AK19			
		GND					AK22			
		GND					AK25			
		GND					AK28			
		GND					AK31			
		GND					AG7			
		GND					AG10			
		GND					AG13			
		GND					AG16			
		GND					AG19			
		GND					AG22			
		GND					AG25			
		GND					AG28			
		GND					AD7			
		GND					AD10			
		GND					AD13			
		GND					AD16			
		GND					AD19			
		GND					AD22			
		GND					AD25			
		GND					AD28			
		GND					AB7			
		GND					AB13			
		GND					AB15			
		GND					AB17			
		GND					AB19			
		GND					AB21			
		GND					AB28			
		GND					AA10			
		GND					AA14			
		GND					AA16			
		GND					AA18			
		GND					AA20			
		GND					AA22			
		GND					AA25			
		GND					Y13			
		GND					Y15			
		GND					Y17			
		GND					Y19			
		GND					Y21			
		GND					W10			
		GND					W14			
		GND					W16			
		GND					W18			
		GND					W20			
		GND					W22			
		GND					W25			
		GND					V13			
		GND					V15			
		GND					V19			
		GND					V21			
		GND					U14			
		GND					U16			
		GND					U20			
		GND					T10			
		GND					T13			
		GND					T15			
		GND					T17			
		GND					T19			
		GND					T21			
		GND					T25			
		GND					R14			
		GND					R16			
		GND					R18			
		GND					R20			
		GND					R22			
		GND					P10			
		GND					P13			
		GND					P15			
		GND					P17			
		GND					P19			
		GND					P25			
		GND					N14			
		GND					N16			
		GND					N18			
		GND					N20			
		GND					N22			
		GND					L7			
		GND					L10			
		GND					L13			
		GND					L16			
		GND					L19			
		GND					L22			
		GND					L25			
		GND					L28			
		GND					H7			
		GND					H10			
		GND					H13			
		GND					H16			
		GND					H19			
		GND					H22			
		GND					H25			
		GND					H28			
		GND					E7			
		GND					E10			
		GND					E13			
		GND					E16			
		GND					E19			
		GND					E22			
		GND					E25			
		GND					E28			
		GND					B4			
		GND					B7			
		GND					B10			
		GND					B13			
		GND					B16			
		GND					B19			
		GND					B22			
		GND					B25			
		GND					B28			
		GND					B31			
		GND					C34			
		GND					C33			
		GND					D33			
		GND					D32			
		GND					D31			
		GND					E34			
		GND					E33			
		GND					F32			
		GND					F31			
		GND					G34			
		GND					G33			
		GND					H32			
		GND					H31			
		GND					J34			
		GND					J33			
		GND					K32			
		GND					K31			
		GND					L34			
		GND					L33			
		GND					M32			
		GND					M31			
		GND					N34			
		GND					N33			
		GND					P32			
		GND					P31			
		GND					P29			
		GND					P27			
		GND					R34			
		GND					R33			
		GND					T32			
		GND					T31			
		GND					T28			
		GND					U34			
		GND					U33			
		GND					V32			
		GND					V31			
		GND					W34			
		GND					W33			
		GND					W29			
		GND					W27			
		GND					Y32			
		GND					AA28			
		GND					AL33			
		GND					AL34			
		GND					AK33			
		GND					AJ33			
		GND					AJ34			
		GND					AH31			
		GND					AH32			
		GND					AG33			
		GND					AG34			
		GND					AF31			
		GND					AF32			
		GND					AE33			
		GND					AE34			
		GND					AD31			
		GND					AD32			
		GND					AC33			
		GND					AC34			
		GND					AB31			
		GND					AB32			
		GND					AA33			
		GND					AA34			
		GND					Y31			
		GND					C2			
		GND					C1			
		GND					D4			
		GND					D3			
		GND					D2			
		GND					E2			
		GND					E1			
		GND					F4			
		GND					F3			
		GND					G2			
		GND					G1			
		GND					H4			
		GND					H3			
		GND					J2			
		GND					J1			
		GND					K4			
		GND					K3			
		GND					L2			
		GND					L1			
		GND					M4			
		GND					M3			
		GND					N2			
		GND					N1			
		GND					P8			
		GND					P6			
		GND					P4			
		GND					P3			
		GND					R2			
		GND					R1			
		GND					T7			
		GND					T4			
		GND					T3			
		GND					U2			
		GND					U1			
		GND					V4			
		GND					V3			
		GND					W8			
		GND					W6			
		GND					W2			
		GND					W1			
		GND					Y4			
		GND					Y3			
		GND					AA7			
		GND					AA2			
		GND					AA1			
		GND					AB4			
		GND					AB3			
		GND					AC2			
		GND					AC1			
		GND					AD4			
		GND					AD3			
		GND					AE2			
		GND					AE1			
		GND					AF4			
		GND					AF3			
		GND					AG2			
		GND					AG1			
		GND					AH4			
		GND					AH3			
		GND					AJ2			
		GND					AJ1			
		GND					AK2			
		GND					AL2			
		GND					AL1			
		VCC					U17			
		VCC					P20			
		VCC					AA15			
		VCC					AA17			
		VCC					AA19			
		VCC					AA21			
		VCC					Y14			
		VCC					Y16			
		VCC					Y18			
		VCC					Y20			
		VCC					W15			
		VCC					W17			
		VCC					W19			
		VCC					W21			
		VCC					V14			
		VCC					V16			
		VCC					V18			
		VCC					V20			
		VCC					U15			
		VCC					U19			
		VCC					U21			
		VCC					T14			
		VCC					T16			
		VCC					T18			
		VCC					T20			
		VCC					R15			
		VCC					R17			
		VCC					R19			
		VCC					R21			
		VCC					P14			
		VCC					P16			
		VCC					P18			
		VCC					AA27			
		VCC					Y27			
		VCC					T27			
		VCC					R27			
		VCC					AA8			
		VCC					Y8			
		VCC					T8			
		VCC					R8			
		VCCPGM					AL29			
		VCCPGM					AL6			
		TEMPDIODEn					A2			
		TEMPDIODEp					B1			
		VCC_CLKIN3C					AH18			
		VCC_CLKIN4C					AH17			
		VCC_CLKIN7C					G17			
		VCC_CLKIN8C					G18			
		VCCA_PLL_B1					AF18			
		VCCA_PLL_B2					AF17			
		VCCA_PLL_L2					V23			
		VCCA_PLL_R2					V12			
		VCCA_PLL_T1					J18			
		VCCA_PLL_T2					J17			
		VCCD_PLL_B1					AG18			
		VCCD_PLL_B2					AG17			
		VCCD_PLL_L2					U23			
		VCCD_PLL_R2					U12			
		VCCD_PLL_T1					H18			
		VCCD_PLL_T2					H17			
		VCCIO1A					E30			
		VCCIO1A					T26			
		VCCIO1A					P30			
		VCCIO1A					M27			
		VCCIO1A					J28			
		VCCIO1C					Y30			
		VCCIO1C					AJ28			
		VCCIO1C					AF30			
		VCCIO1C					AD26			
		VCCIO3A					AE24			
		VCCIO3A					AM27			
		VCCIO3A					AM32			
		VCCIO3A					AJ25			
		VCCIO3B					AE21			
		VCCIO3B					AM24			
		VCCIO3C					AE18			
		VCCIO3C					AP19			
		VCCIO3C					AJ21			
		VCCIO4A					AE11			
		VCCIO4A					AM3			
		VCCIO4A					AM8			
		VCCIO4A					AJ10			
		VCCIO4B					AE14			
		VCCIO4B					AM11			
		VCCIO4C					AE17			
		VCCIO4C					AP16			
		VCCIO4C					AJ14			
		VCCIO6A					E5			
		VCCIO6A					T9			
		VCCIO6A					P5			
		VCCIO6A					M8			
		VCCIO6A					J7			
		VCCIO6C					Y5			
		VCCIO6C					AJ7			
		VCCIO6C					AF5			
		VCCIO6C					AD9			
		VCCIO7A					C8			
		VCCIO7A					K11			
		VCCIO7A					F10			
		VCCIO7A					C3			
		VCCIO7B					C11			
		VCCIO7B					K14			
		VCCIO7C					A16			
		VCCIO7C					K17			
		VCCIO7C					F14			
		VCCIO8A					C32			
		VCCIO8A					K24			
		VCCIO8A					F25			
		VCCIO8A					C27			
		VCCIO8B					C24			
		VCCIO8B					K21			
		VCCIO8C					A19			
		VCCIO8C					K18			
		VCCIO8C					F21			
		VCCPD1A					M25			
		VCCPD1C					V22			
		VCCPD3A					AB22			
		VCCPD3B					AB20			
		VCCPD3C					AB18			
		VCCPD4A					AA13			
		VCCPD4B					AB14			
		VCCPD4C					AB16			
		VCCPD6A					M10			
		VCCPD6C					U13			
		VCCPD7A					N13			
		VCCPD7B					N15			
		VCCPD7C					N17			
		VCCPD8A					P22			
		VCCPD8B					N21			
		VCCPD8C					N19			
1A	VREFB1AN0	VREFB1AN0	VREFB1AN0				N27			
1C	VREFB1CN0	VREFB1CN0	VREFB1CN0				V25			
3A	VREFB3AN0	VREFB3AN0	VREFB3AN0				AH26			
3B	VREFB3BN0	VREFB3BN0	VREFB3BN0				AH23			
3C	VREFB3CN0	VREFB3CN0	VREFB3CN0				AH20			
4A	VREFB4AN0	VREFB4AN0	VREFB4AN0				AH9			
4B	VREFB4BN0	VREFB4BN0	VREFB4BN0				AH12			
4C	VREFB4CN0	VREFB4CN0	VREFB4CN0				AH15			
6A	VREFB6AN0	VREFB6AN0	VREFB6AN0				N8			
6C	VREFB6CN0	VREFB6CN0	VREFB6CN0				V10			
7A	VREFB7AN0	VREFB7AN0	VREFB7AN0				G9			
7B	VREFB7BN0	VREFB7BN0	VREFB7BN0				G12			
7C	VREFB7CN0	VREFB7CN0	VREFB7CN0				G15			
8A	VREFB8AN0	VREFB8AN0	VREFB8AN0				G26			
8B	VREFB8BN0	VREFB8BN0	VREFB8BN0				G23			
8C	VREFB8CN0	VREFB8CN0	VREFB8CN0				G20			
		NC					C30			
		NC					AN34			
		NC					AF9			
		NC					B2			
		NC					AJ32			
		NC					AJ31			
		NC					AJ4			
		NC					AJ3			
		NC					AB11			
		NC					AB24			
		NC					AA11			
		NC					AA12			
		NC					AA23			
		NC					AA24			
		NC					Y12			
		NC					Y23			
		NC					T12			
		NC					T22			
		NC					T23			
		NC					R11			
		NC					R12			
		NC					R13			
		NC					R23			
		NC					R24			
		NC(3)		MSEL2			E6			
		NC(3)		MSEL1			C6			
		NC(3)		MSEL0			C5			
		NC(6)					V17			
		NC(4)					H8			
		NC(5)					Y22			
		NC(5)					W23			
		NC(5)					AJ18			
		NC(5)					W12			
		NC(5)					W13			
		NC(5)					F18			
		NC(7)					D34			
		NC(7)					D1			
		VCCAUX					F28			
		VCCAUX					AH27			
		VCCAUX					AH8			
		VCCAUX					F7			
		VCCA_L					AC30			
		VCCA_L					U30			
		VCCA_R					AC5			
		VCCA_R					U5			
		VCCH_GXBL0					Y29			
		VCCH_GXBL1					R29			
		VCCH_GXBR0					Y6			
		VCCH_GXBR1					R6			
		VCCL_GXBL0					W28			
		VCCL_GXBL0					Y28			
		VCCL_GXBL1					P28			
		VCCL_GXBL1					R28			
		VCCL_GXBR0					Y7			
		VCCL_GXBR0					W7			
		VCCL_GXBR1					R7			
		VCCL_GXBR1					P7			
		VCCR_R					W5			
		VCCR_R					N5			
		VCCR_L					N30			
		VCCR_L					W30			
		VCCT_R					AA5			
		VCCT_R					R5			
		VCCT_L					AA30			
		VCCT_L					R30			
		VCCHIP_R					W9			
		VCCHIP_R					Y9			
		VCCHIP_R					V9			
		VCCHIP_L					V26			
		VCCHIP_L					Y26			
		VCCHIP_L					W26			
		RREF_L0					AK34			
		RREF_R0					AK1			


Notes on Pin Table:										
(1)  These pins should be connected on the board to properly configure the FPGA prototype.  See Stratix IV device pin table for details.										
"(2)  The individual index number of the pin in this column may not be the same as its companion Stratix IV device, but the functionality of the pin is fully migratable."										
(3)  These NO CONNECT (NC) pins are MSEL configuration input pins in the Stratix IV device and should be connected on the board to  configure the FPGA prototype.										
(4)  This NC pin is a VCCBAT pin in the Stratix IV device and should be connected for the FPGA prototype. 										
(5)  This NC pin is a VCCPT pin in the Stratix IV device and should be connected for the FPGA prototype. 										
(6)  This NC pin is a DNU pin in the Stratix IV device and must be left floating.										
(7)  This NC pin is a RREF pin in the Stratix IV device and should be connected to GND for the FPGA prototype.										



































						
						
						
						
						
						
						
						
